# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 2.901974905288590162e+04 2.892026758016615713e+04 2.600000000000000000e+01
1.507912216506558135e-02 3.532734278664759040e+04 3.522786131392784591e+04 6.600000000000000000e+01
2.144790186456837014e-02 3.300705202582116181e+04 3.290757055310141732e+04 1.580000000000000000e+02
2.792609073416789378e-02 2.965959750690246437e+04 2.956011603418271989e+04 2.400000000000000000e+02
3.439458802618463457e-02 2.426004872617761430e+04 2.416056725345786981e+04 4.040000000000000000e+02
4.063552503253392567e-02 1.967785176038064674e+04 1.957837028766090225e+04 4.920000000000000000e+02
4.685273545737825979e-02 1.783055139137575316e+04 1.773106991865600867e+04 7.160000000000000000e+02
5.308225101765943338e-02 1.658705539736773790e+04 1.648757392464799341e+04 8.660000000000000000e+02
5.947086026992840641e-02 1.511993244404304278e+04 1.502045097132330011e+04 1.176000000000000000e+03
6.579000890571343185e-02 1.402060435434693136e+04 1.392112288162718869e+04 1.358000000000000000e+03
7.197688940286899040e-02 1.286737122582999837e+04 1.276788975311025570e+04 1.620000000000000000e+03
7.827860915688306109e-02 1.216968924820950815e+04 1.207020777548976548e+04 1.970000000000000000e+03
8.473402853143152669e-02 1.059818574709789027e+04 1.049870427437814760e+04 2.388000000000000000e+03
9.114995057719250948e-02 9.474589172943120502e+03 9.375107700223377833e+03 2.642000000000000000e+03
9.733441570868076043e-02 8.294886992616133284e+03 8.195405519896390615e+03 2.948000000000000000e+03
1.034823507189909925e-01 7.876746038758355098e+03 7.777264566038612429e+03 3.312000000000000000e+03
1.097621497737264751e-01 7.117376346407522760e+03 7.017894873687780091e+03 3.920000000000000000e+03
1.161502569114246236e-01 6.855301391453504948e+03 6.755819918733762279e+03 4.368000000000000000e+03
1.224511299792719610e-01 6.504537675542794204e+03 6.405056202823051535e+03 4.706000000000000000e+03
1.287146397216415161e-01 6.065016569595744841e+03 5.965535096876002171e+03 5.312000000000000000e+03
1.349787624209431713e-01 5.871566337243192720e+03 5.772084864523450051e+03 5.712000000000000000e+03
