# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 5.047252047178312205e+04 5.041849812446675060e+04 2.600000000000000000e+01
1.507912216506558135e-02 8.224150556017008785e+04 8.218748321285372367e+04 6.600000000000000000e+01
2.144790186456837014e-02 7.291002958659379510e+04 7.285600723927743093e+04 1.580000000000000000e+02
2.792609073416789378e-02 6.564353892741656455e+04 6.558951658010020037e+04 2.400000000000000000e+02
3.439458802618463457e-02 5.321226064765491174e+04 5.315823830033854028e+04 4.040000000000000000e+02
4.063552503253392567e-02 4.396416035854227812e+04 4.391013801122590667e+04 4.920000000000000000e+02
4.685273545737825979e-02 3.858733738774565427e+04 3.853331504042928282e+04 7.160000000000000000e+02
5.308225101765943338e-02 3.635163493205310806e+04 3.629761258473673661e+04 8.660000000000000000e+02
5.947086026992840641e-02 3.532815046746176813e+04 3.527412812014539668e+04 1.176000000000000000e+03
6.579000890571343185e-02 3.286056482120876899e+04 3.280654247389239754e+04 1.358000000000000000e+03
7.197688940286899040e-02 3.009314292541416580e+04 3.003912057809779435e+04 1.620000000000000000e+03
7.827860915688306109e-02 2.849484684230437779e+04 2.844082449498800634e+04 1.970000000000000000e+03
8.473402853143152669e-02 2.508014711391806122e+04 2.502612476660168977e+04 2.388000000000000000e+03
9.114995057719250948e-02 2.299258121663411293e+04 2.293855886931774148e+04 2.642000000000000000e+03
9.733441570868076043e-02 2.141514713007205137e+04 2.136112478275567992e+04 2.948000000000000000e+03
1.034823507189909925e-01 2.008374719915302921e+04 2.002972485183665776e+04 3.312000000000000000e+03
1.097621497737264751e-01 1.867842013344472434e+04 1.862439778612835289e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.781662564925651532e+04 1.776260330194014387e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.691257771057983700e+04 1.685855536326346555e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.661463887211213296e+04 1.656061652479576151e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.628616891385517374e+04 1.623214656653880411e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.527491236160981680e+04 1.522089001429344717e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.464484529935490900e+04 1.459082295203853937e+04 6.966000000000000000e+03
