# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 2.277730358885633541e+04 2.263971428824063696e+04 2.600000000000000000e+01
1.507912216506558135e-02 2.435270715243298764e+04 2.421511785181728919e+04 6.600000000000000000e+01
2.144790186456837014e-02 2.377796414951012775e+04 2.364037484889442931e+04 1.580000000000000000e+02
2.792609073416789378e-02 2.213562672373498208e+04 2.199803742311928363e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.806784054750667201e+04 1.793025124689097356e+04 4.040000000000000000e+02
4.063552503253392567e-02 1.443426667267652556e+04 1.429667737206082711e+04 4.920000000000000000e+02
4.685273545737825979e-02 1.300835238114062668e+04 1.287076308052492823e+04 7.160000000000000000e+02
5.308225101765943338e-02 1.184381619032974413e+04 1.170622688971404568e+04 8.660000000000000000e+02
5.947086026992840641e-02 1.060522168053009045e+04 1.046763237991439200e+04 1.176000000000000000e+03
6.579000890571343185e-02 9.820043170074151931e+03 9.682453869458453482e+03 1.358000000000000000e+03
7.197688940286899040e-02 8.971500029744440326e+03 8.833910729128741878e+03 1.620000000000000000e+03
7.827860915688306109e-02 8.197991753454614809e+03 8.060402452838916361e+03 1.970000000000000000e+03
8.473402853143152669e-02 7.246183207456157106e+03 7.108593906840458658e+03 2.388000000000000000e+03
9.114995057719250948e-02 6.300557398307738367e+03 6.162968097692039919e+03 2.642000000000000000e+03
9.733441570868076043e-02 5.490159787655539731e+03 5.352570487039841282e+03 2.948000000000000000e+03
1.034823507189909925e-01 5.170123791702392737e+03 5.032534491086694288e+03 3.312000000000000000e+03
1.097621497737264751e-01 4.666845132048501910e+03 4.529255831432803461e+03 3.920000000000000000e+03
1.161502569114246236e-01 4.409211482105853975e+03 4.271622181490155526e+03 4.368000000000000000e+03
1.224511299792719610e-01 4.212775708709278661e+03 4.075186408093580212e+03 4.706000000000000000e+03
1.287146397216415161e-01 3.975259389170933900e+03 3.837670088555235452e+03 5.312000000000000000e+03
1.349787624209431713e-01 3.764695392614662069e+03 3.627106091998963620e+03 5.712000000000000000e+03
1.412227094847550990e-01 3.441013293320925641e+03 3.303423992705227192e+03 6.380000000000000000e+03
1.475340300674937433e-01 3.198149774639720818e+03 3.060560474024022369e+03 6.966000000000000000e+03
1.538209950420127425e-01 2.950491345711801841e+03 2.812902045096103393e+03 7.448000000000000000e+03
1.600939799861342827e-01 2.737355292692137482e+03 2.599765992076439034e+03 8.252000000000000000e+03
1.664990542498203663e-01 2.647200255127404489e+03 2.509610954511706041e+03 9.032000000000000000e+03
1.728174132941030505e-01 2.486673849384718324e+03 2.349084548769019875e+03 9.454000000000000000e+03
1.789853057753862942e-01 2.374517793134198655e+03 2.236928492518500207e+03 9.842000000000000000e+03
1.852733873177464519e-01 2.276087772506909005e+03 2.138498471891210556e+03 1.128200000000000000e+04
1.915389716053957636e-01 2.120572182161340606e+03 1.982982881545642158e+03 1.131800000000000000e+04
1.978093968968032412e-01 2.023261508662503275e+03 1.885672208046804826e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.946608895956408560e+03 1.809019595340710111e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.851586497182175435e+03 1.713997196566476987e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.765740981264091715e+03 1.628151680648393267e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.691225519954433139e+03 1.553636219338734691e+03 1.561200000000000000e+04
2.292666160073620063e-01 1.599917852815421611e+03 1.462328552199723163e+03 1.673000000000000000e+04
2.355414553524693422e-01 1.546955048166579900e+03 1.409365747550881451e+03 1.765200000000000000e+04
2.418784335992887613e-01 1.501944699353347687e+03 1.364355398737649239e+03 1.889000000000000000e+04
2.481481271052154158e-01 1.412828443746323046e+03 1.275239143130624598e+03 1.929800000000000000e+04
2.543650879168818379e-01 1.363392714613252565e+03 1.225803413997554117e+03 2.047000000000000000e+04
2.606536864982170187e-01 1.331186621517780850e+03 1.193597320902082402e+03 2.174800000000000000e+04
2.669516384221341521e-01 1.273977774684264887e+03 1.136388474068566438e+03 2.269000000000000000e+04
2.732605699623428253e-01 1.226751492772292750e+03 1.089162192156594301e+03 2.392000000000000000e+04
2.796050098145749785e-01 1.189663744927619518e+03 1.052074444311921070e+03 2.524600000000000000e+04
2.858914879318384394e-01 1.147168630260680402e+03 1.009579329644982067e+03 2.568400000000000000e+04
2.920995948224677785e-01 1.111920626856249328e+03 9.743313262405509931e+02 2.681600000000000000e+04
2.983507476243664192e-01 1.097198974811247808e+03 9.596096741955494736e+02 2.844000000000000000e+04
3.046505408519667446e-01 1.048805985480886648e+03 9.112166848651883129e+02 2.953800000000000000e+04
3.109471038444538982e-01 1.009172564868231802e+03 8.715832642525334677e+02 3.094400000000000000e+04
3.172476750734718465e-01 1.000269635099091147e+03 8.626803344833928122e+02 3.198000000000000000e+04
3.235400448401911655e-01 9.684908652061750445e+02 8.309015645904767098e+02 3.352600000000000000e+04
3.298240459879566155e-01 9.411881958845352756e+02 8.035988952688369409e+02 3.446400000000000000e+04
3.361484519828671913e-01 9.057671367135941409e+02 7.681778360978958062e+02 3.651400000000000000e+04
3.424245328606954630e-01 8.904396696283343999e+02 7.528503690126360652e+02 3.675800000000000000e+04
3.486779824429606656e-01 8.654804280813496007e+02 7.278911274656512660e+02 3.881000000000000000e+04
3.549863988041813134e-01 8.455123880828901974e+02 7.079230874671918627e+02 4.041000000000000000e+04
3.612333738091870750e-01 8.395440935909384734e+02 7.019547929752401387e+02 4.071400000000000000e+04
3.675042092955584372e-01 8.054494224725423237e+02 6.678601218568439890e+02 4.367000000000000000e+04
3.737994570270907757e-01 7.930437989316313860e+02 6.554544983159330513e+02 4.398600000000000000e+04
3.800864636623462745e-01 7.731187675108117219e+02 6.355294668951133872e+02 4.642800000000000000e+04
3.863718149601460539e-01 7.543754464659044743e+02 6.167861458502061396e+02 4.723600000000000000e+04
3.926652062093009543e-01 7.301546568502603805e+02 5.925653562345620458e+02 4.938600000000000000e+04
3.989690954083237040e-01 7.204830156539447898e+02 5.828937150382464552e+02 5.079600000000000000e+04
4.052314429539636831e-01 7.054468736521968140e+02 5.678575730364984793e+02 5.174000000000000000e+04
4.115238727386639761e-01 6.881166813761204821e+02 5.505273807604221474e+02 5.460200000000000000e+04
4.178033403078543762e-01 6.738204759856637338e+02 5.362311753699653991e+02 5.484400000000000000e+04
4.240515472996450597e-01 6.666468518233315308e+02 5.290575512076331961e+02 5.723200000000000000e+04
4.303677505012359350e-01 6.564433102746744453e+02 5.188540096589761106e+02 5.964800000000000000e+04
4.366726307806358953e-01 6.420334375972720409e+02 5.044441369815737062e+02 6.038400000000000000e+04
4.429228297480427012e-01 6.345181039092665287e+02 4.969288032935681940e+02 6.217000000000000000e+04
4.491736915552866916e-01 6.188095437044134997e+02 4.812202430887151650e+02 6.383200000000000000e+04
4.554569188183393291e-01 6.057231007424965128e+02 4.681338001267981781e+02 6.627200000000000000e+04
4.617788911268420060e-01 5.985522900566481894e+02 4.609629894409498547e+02 6.860400000000000000e+04
4.680995906845802912e-01 5.830251376360985205e+02 4.454358370204001858e+02 6.982400000000000000e+04
4.743866829976556287e-01 5.721349319293354938e+02 4.345456313136371591e+02 7.159800000000000000e+04
4.806701266904181979e-01 5.655812117769784209e+02 4.279919111612800862e+02 7.363400000000000000e+04
4.869464029839004060e-01 5.607205198815901213e+02 4.231312192658917866e+02 7.514600000000000000e+04
4.932051255392171929e-01 5.451981570121749883e+02 4.076088563964766536e+02 7.732800000000000000e+04
4.994696626648479909e-01 5.397810125628660671e+02 4.021917119471677324e+02 7.884800000000000000e+04
5.057193073175597631e-01 5.295556355602743679e+02 3.919663349445760332e+02 8.116400000000000000e+04
5.119989495044070527e-01 5.262847017210241347e+02 3.886954011053258000e+02 8.364400000000000000e+04
5.183159826466314790e-01 5.135125049059597586e+02 3.759232042902614239e+02 8.615600000000000000e+04
5.246107092885408107e-01 5.053701570252183615e+02 3.677808564095199699e+02 8.741000000000000000e+04
5.308819677746196009e-01 4.989092972896601168e+02 3.613199966739617821e+02 8.933800000000000000e+04
5.371663275127862569e-01 4.933902358936569499e+02 3.558009352779586152e+02 9.246200000000000000e+04
5.434900758720350167e-01 4.897323280289402305e+02 3.521430274132418390e+02 9.450400000000000000e+04
5.497699542502575420e-01 4.788257241463559239e+02 3.412364235306575893e+02 9.565800000000000000e+04
5.560083363989032357e-01 4.708586239054096154e+02 3.332693232897112239e+02 9.759800000000000000e+04
5.623114537777685884e-01 4.644059147206134526e+02 3.268166141049150610e+02 1.019620000000000000e+05
5.686318313430648308e-01 4.607437385264878458e+02 3.231544379107895111e+02 1.029860000000000000e+05
5.748997298340194906e-01 4.549357126457015283e+02 3.173464120300031936e+02 1.044280000000000000e+05
5.811784316152807106e-01 4.508238362698642732e+02 3.132345356541659385e+02 1.082760000000000000e+05
5.874623501555152894e-01 4.450411782994670489e+02 3.074518776837686573e+02 1.091300000000000000e+05
5.937358705487374433e-01 4.376741644998336938e+02 3.000848638841353022e+02 1.124920000000000000e+05
6.000132321575981642e-01 4.324319810981158980e+02 2.948426804824175633e+02 1.142380000000000000e+05
6.062764279011477742e-01 4.267469092338310475e+02 2.891576086181327128e+02 1.165200000000000000e+05
6.125579126729602253e-01 4.228628330947469181e+02 2.852735324790485265e+02 1.198680000000000000e+05
6.188758883571132685e-01 4.198525898774553866e+02 2.822632892617569951e+02 1.227600000000000000e+05
6.251574688191492424e-01 4.145252175474079195e+02 2.769359169317095848e+02 1.235740000000000000e+05
6.314078328527679140e-01 4.090729335579107442e+02 2.714836329422123526e+02 1.265060000000000000e+05
6.377090179731219610e-01 4.036610149368993348e+02 2.660717143212009432e+02 1.303720000000000000e+05
6.440064460832264359e-01 4.010209554654911130e+02 2.634316548497927215e+02 1.318120000000000000e+05
6.502830651582106603e-01 3.949967556531877904e+02 2.574074550374893988e+02 1.344920000000000000e+05
6.565805265356863263e-01 3.927028638056905265e+02 2.551135631899921634e+02 1.379620000000000000e+05
6.628599596871522781e-01 3.875926598731604713e+02 2.500033592574621082e+02 1.390120000000000000e+05
6.691298853551562731e-01 3.836548026031621248e+02 2.460655019874637617e+02 1.425480000000000000e+05
6.754222718254296876e-01 3.804968486143936843e+02 2.429075479986953212e+02 1.458880000000000000e+05
6.816939054591842906e-01 3.760605978317137215e+02 2.384712972160153583e+02 1.465620000000000000e+05
6.879709791718701117e-01 3.737793767665357905e+02 2.361900761508374273e+02 1.517500000000000000e+05
6.942614105711022443e-01 3.676467046062394388e+02 2.300574039905410757e+02 1.526260000000000000e+05
7.005365424756659909e-01 3.628127036477898741e+02 2.252234030320915110e+02 1.565860000000000000e+05
7.068233029523925959e-01 3.611655063014536040e+02 2.235762056857552409e+02 1.590780000000000000e+05
7.131225830129004351e-01 3.596582987922066650e+02 2.220689981765083019e+02 1.622900000000000000e+05
7.194106404935602939e-01 3.543264354042592004e+02 2.167371347885608373e+02 1.647700000000000000e+05
7.256916467573152341e-01 3.529174113971092765e+02 2.153281107814109134e+02 1.674660000000000000e+05
7.319862263035085137e-01 3.490665839825405783e+02 2.114772833668422152e+02 1.713680000000000000e+05
7.382778109483263407e-01 3.474103436244602676e+02 2.098210430087619045e+02 1.730960000000000000e+05
7.445474719729404667e-01 3.422084810657639764e+02 2.046191804500656133e+02 1.760120000000000000e+05
7.508031991267573035e-01 3.391073422088032885e+02 2.015180415931049254e+02 1.785720000000000000e+05
7.570835243855718044e-01 3.353300768924023600e+02 1.977407762767039969e+02 1.828740000000000000e+05
7.633725915964089115e-01 3.346244239871435866e+02 1.970351233714452235e+02 1.855560000000000000e+05
7.696559165320593365e-01 3.298731488413758370e+02 1.922838482256774739e+02 1.883800000000000000e+05
7.759472068200509165e-01 3.282287471012936066e+02 1.906394464855952435e+02 1.923620000000000000e+05
7.822420857509159164e-01 3.274078970870156695e+02 1.898185964713173064e+02 1.948920000000000000e+05
7.885501419914293653e-01 3.255678401223235596e+02 1.879785395066251965e+02 1.992240000000000000e+05
7.948038474963337041e-01 3.200298833050560461e+02 1.824405826893576830e+02 1.980620000000000000e+05
8.010520907109800470e-01 3.207088210385711591e+02 1.831195204228727960e+02 2.048760000000000000e+05
8.073556460726576400e-01 3.152685945835360144e+02 1.776792939678376513e+02 2.082080000000000000e+05
8.136472652876408640e-01 3.127574378924475127e+02 1.751681372767491496e+02 2.106380000000000000e+05
8.199328051877485812e-01 3.123170771203700724e+02 1.747277765046717093e+02 2.141460000000000000e+05
8.262092250684122119e-01 3.100511542550574973e+02 1.724618536393591341e+02 2.167700000000000000e+05
8.325052758042271739e-01 3.057441300669887028e+02 1.681548294512903396e+02 2.218980000000000000e+05
8.388116654351844836e-01 3.057847570140555717e+02 1.681954563983572086e+02 2.244000000000000000e+05
8.450849103364239667e-01 3.034915963859444332e+02 1.659022957702460701e+02 2.263060000000000000e+05
8.513462727474617742e-01 2.996766051576339578e+02 1.620873045419355947e+02 2.298240000000000000e+05
8.576284146508676987e-01 2.989356923526831338e+02 1.613463917369847707e+02 2.351900000000000000e+05
8.639203271423162578e-01 2.956824007690435678e+02 1.580931001533452047e+02 2.369960000000000000e+05
8.702001278720664645e-01 2.952698594567596615e+02 1.576805588410612984e+02 2.415680000000000000e+05
8.764772930847268828e-01 2.936682348409178758e+02 1.560789342252195127e+02 2.433340000000000000e+05
8.827715178895144676e-01 2.917511871680667923e+02 1.541618865523684292e+02 2.500580000000000000e+05
8.890536686845070813e-01 2.892125483474969769e+02 1.516232477317986138e+02 2.498260000000000000e+05
8.953222746762443673e-01 2.887460556859109033e+02 1.511567550702125402e+02 2.554020000000000000e+05
9.016064535102598088e-01 2.862951830240164668e+02 1.487058824083181037e+02 2.588880000000000000e+05
9.078934899700541461e-01 2.826176854167128454e+02 1.450283848010144823e+02 2.622400000000000000e+05
9.141879395382898066e-01 2.815306437300271796e+02 1.439413431143288165e+02 2.673220000000000000e+05
9.204870069999977478e-01 2.816824283114727336e+02 1.440931276957743705e+02 2.697820000000000000e+05
9.267634485314798498e-01 2.794603058650949379e+02 1.418710052493965748e+02 2.725480000000000000e+05
9.330398908859652840e-01 2.766795852529779722e+02 1.390902846372796091e+02 2.775220000000000000e+05
9.393419790538620751e-01 2.754293658683507715e+02 1.378400652526524084e+02 2.819920000000000000e+05
9.456138811139273015e-01 2.722064914583619952e+02 1.346171908426636321e+02 2.827100000000000000e+05
9.518752143586322045e-01 2.728706677314643230e+02 1.352813671157659599e+02 2.881620000000000000e+05
9.581565932480536896e-01 2.711250247857027489e+02 1.335357241700043858e+02 2.922500000000000000e+05
9.644556692432024736e-01 2.695370801969060039e+02 1.319477795812076408e+02 2.976780000000000000e+05
9.707473583964632002e-01 2.676232659509229279e+02 1.300339653352245648e+02 2.990500000000000000e+05
9.770167227541187716e-01 2.660473914638147335e+02 1.284580908481163704e+02 3.035940000000000000e+05
