# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 3.002316269450134132e+04 2.997155507323233542e+04 2.600000000000000000e+01
1.507912216506558135e-02 3.619317180133527290e+04 3.614156418006626336e+04 6.600000000000000000e+01
2.144790186456837014e-02 3.158780064194904116e+04 3.153619302068003526e+04 1.580000000000000000e+02
2.792609073416789378e-02 3.128187545693737775e+04 3.123026783566837184e+04 2.400000000000000000e+02
3.439458802618463457e-02 2.617477893662492352e+04 2.612317131535591761e+04 4.040000000000000000e+02
4.063552503253392567e-02 2.365068716601989945e+04 2.359907954475089355e+04 4.920000000000000000e+02
4.685273545737825979e-02 2.185030062003113926e+04 2.179869299876213336e+04 7.160000000000000000e+02
5.308225101765943338e-02 2.176474713223987055e+04 2.171313951097086465e+04 8.660000000000000000e+02
5.947086026992840641e-02 1.947558724685501875e+04 1.942397962558601284e+04 1.176000000000000000e+03
6.579000890571343185e-02 1.820143202352647131e+04 1.814982440225746541e+04 1.358000000000000000e+03
7.197688940286899040e-02 1.837234615962108001e+04 1.832073853835207410e+04 1.620000000000000000e+03
7.827860915688306109e-02 1.794260162521771053e+04 1.789099400394870463e+04 1.970000000000000000e+03
8.473402853143152669e-02 1.597709116686180641e+04 1.592548354559279869e+04 2.388000000000000000e+03
9.114995057719250948e-02 1.558806340427652685e+04 1.553645578300751913e+04 2.642000000000000000e+03
9.733441570868076043e-02 1.409356202845750340e+04 1.404195440718849568e+04 2.948000000000000000e+03
1.034823507189909925e-01 1.412936646094375646e+04 1.407775883967474874e+04 3.312000000000000000e+03
1.097621497737264751e-01 1.314503659891514144e+04 1.309342897764613372e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.293108923803158359e+04 1.287948161676257587e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.304230833558332779e+04 1.299070071431432007e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.244306576609572585e+04 1.239145814482671813e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.250205657709303341e+04 1.245044895582402569e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.177743301408409206e+04 1.172582539281508434e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.161736082488687680e+04 1.156575320361786908e+04 6.966000000000000000e+03
1.538209950420127425e-01 1.139874486571564557e+04 1.134713724444663785e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.072919261407133490e+04 1.067758499280232718e+04 8.252000000000000000e+03
1.664990542498203663e-01 1.116591084768282417e+04 1.111430322641381645e+04 9.032000000000000000e+03
1.728174132941030505e-01 1.082206002161776451e+04 1.077045240034875678e+04 9.454000000000000000e+03
1.789853057753862942e-01 1.084675922591401650e+04 1.079515160464500877e+04 9.842000000000000000e+03
1.852733873177464519e-01 1.019854380232451877e+04 1.014693618105551104e+04 1.128200000000000000e+04
