# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 1.178081626397738728e+04 1.164149002615780955e+04 2.600000000000000000e+01
1.507912216506558135e-02 1.320561315259805815e+04 1.306628691477848042e+04 6.600000000000000000e+01
2.144790186456837014e-02 1.243266662163284673e+04 1.229334038381326900e+04 1.580000000000000000e+02
2.792609073416789378e-02 1.209663292020477274e+04 1.195730668238519502e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.005333292284264280e+04 9.914006685023065074e+03 4.040000000000000000e+02
4.063552503253392567e-02 8.098458268648671037e+03 7.959132030829093310e+03 4.920000000000000000e+02
4.685273545737825979e-02 7.402107762817400726e+03 7.262781524997822999e+03 7.160000000000000000e+02
5.308225101765943338e-02 6.794077211165898916e+03 6.654750973346321189e+03 8.660000000000000000e+02
5.947086026992840641e-02 5.982549998763239273e+03 5.843223760943661546e+03 1.176000000000000000e+03
6.579000890571343185e-02 5.523583903237999039e+03 5.384257665418421311e+03 1.358000000000000000e+03
7.197688940286899040e-02 5.100549988861890597e+03 4.961223751042312870e+03 1.620000000000000000e+03
7.827860915688306109e-02 4.685960284480034716e+03 4.546634046660456988e+03 1.970000000000000000e+03
8.473402853143152669e-02 4.219970705195664777e+03 4.080644467376087050e+03 2.388000000000000000e+03
9.114995057719250948e-02 3.716468092524540225e+03 3.577141854704962498e+03 2.642000000000000000e+03
9.733441570868076043e-02 3.234039416181635715e+03 3.094713178362057988e+03 2.948000000000000000e+03
1.034823507189909925e-01 3.072491252423394599e+03 2.933165014603816871e+03 3.312000000000000000e+03
1.097621497737264751e-01 2.799637619086915947e+03 2.660311381267338220e+03 3.920000000000000000e+03
1.161502569114246236e-01 2.671593761296607227e+03 2.532267523477029499e+03 4.368000000000000000e+03
1.224511299792719610e-01 2.554898107180313218e+03 2.415571869360735491e+03 4.706000000000000000e+03
1.287146397216415161e-01 2.438883118915500290e+03 2.299556881095922563e+03 5.312000000000000000e+03
1.349787624209431713e-01 2.327934703916951548e+03 2.188608466097373821e+03 5.712000000000000000e+03
1.412227094847550990e-01 2.123083755026964809e+03 1.983757517207387082e+03 6.380000000000000000e+03
1.475340300674937433e-01 1.982617417385700719e+03 1.843291179566122992e+03 6.966000000000000000e+03
1.538209950420127425e-01 1.851796549817846881e+03 1.712470311998269153e+03 7.448000000000000000e+03
1.600939799861342827e-01 1.741189613329174790e+03 1.601863375509597063e+03 8.252000000000000000e+03
1.664990542498203663e-01 1.680007862157004865e+03 1.540681624337427138e+03 9.032000000000000000e+03
1.728174132941030505e-01 1.600929331570826434e+03 1.461603093751248707e+03 9.454000000000000000e+03
1.789853057753862942e-01 1.527636970264900356e+03 1.388310732445322628e+03 9.842000000000000000e+03
1.852733873177464519e-01 1.451668236257431772e+03 1.312341998437854045e+03 1.128200000000000000e+04
1.915389716053957636e-01 1.368970172844092303e+03 1.229643935024514576e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.336331405644368715e+03 1.197005167824790988e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.274964545207961237e+03 1.135638307388383510e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.219275433260862201e+03 1.079949195441284473e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.169577823340637678e+03 1.030251585521059951e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.119752854926290865e+03 9.804266171067130244e+02 1.561200000000000000e+04
2.292666160073620063e-01 1.066436600416878491e+03 9.271103625973006501e+02 1.673000000000000000e+04
2.355414553524693422e-01 1.027597955806479376e+03 8.882717179869015354e+02 1.765200000000000000e+04
2.418784335992887613e-01 9.972543928524504508e+02 8.579281550328726098e+02 1.889000000000000000e+04
2.481481271052154158e-01 9.583081288148076737e+02 8.189818909952298327e+02 1.929800000000000000e+04
2.543650879168818379e-01 9.267192803944485604e+02 7.873930425748707194e+02 2.047000000000000000e+04
2.606536864982170187e-01 8.961308545899336195e+02 7.568046167703557785e+02 2.174800000000000000e+04
2.669516384221341521e-01 8.684860675019280052e+02 7.291598296823501641e+02 2.269000000000000000e+04
2.732605699623428253e-01 8.411389120930516583e+02 7.018126742734738173e+02 2.392000000000000000e+04
2.796050098145749785e-01 8.115286311376142976e+02 6.722023933180364565e+02 2.524600000000000000e+04
2.858914879318384394e-01 7.856219325558067794e+02 6.462956947362289384e+02 2.568400000000000000e+04
2.920995948224677785e-01 7.693585833019033089e+02 6.300323454823254679e+02 2.681600000000000000e+04
2.983507476243664192e-01 7.620540227439869341e+02 6.227277849244090930e+02 2.844000000000000000e+04
3.046505408519667446e-01 7.269252560639074545e+02 5.875990182443296135e+02 2.953800000000000000e+04
3.109471038444538982e-01 7.070088159411342303e+02 5.676825781215563893e+02 3.094400000000000000e+04
3.172476750734718465e-01 6.961342783489983503e+02 5.568080405294205093e+02 3.198000000000000000e+04
3.235400448401911655e-01 6.839665201394976748e+02 5.446402823199198338e+02 3.352600000000000000e+04
3.298240459879566155e-01 6.614149793834310458e+02 5.220887415638532048e+02 3.446400000000000000e+04
3.361484519828671913e-01 6.366072147079911474e+02 4.972809768884133064e+02 3.651400000000000000e+04
3.424245328606954630e-01 6.368989827516892319e+02 4.975727449321113909e+02 3.675800000000000000e+04
3.486779824429606656e-01 6.192502421474387120e+02 4.799240043278608709e+02 3.881000000000000000e+04
3.549863988041813134e-01 6.053495329201473396e+02 4.660232951005694986e+02 4.041000000000000000e+04
3.612333738091870750e-01 5.900966695847231449e+02 4.507704317651453039e+02 4.071400000000000000e+04
3.675042092955584372e-01 5.793692601181061264e+02 4.400430222985282853e+02 4.367000000000000000e+04
3.737994570270907757e-01 5.706029088560729861e+02 4.312766710364951450e+02 4.398600000000000000e+04
3.800864636623462745e-01 5.599098167861520778e+02 4.205835789665742368e+02 4.642800000000000000e+04
3.863718149601460539e-01 5.469084256333644589e+02 4.075821878137866179e+02 4.723600000000000000e+04
3.926652062093009543e-01 5.334205329031854035e+02 3.940942950836075624e+02 4.938600000000000000e+04
3.989690954083237040e-01 5.241459749943717270e+02 3.848197371747938860e+02 5.079600000000000000e+04
4.052314429539636831e-01 5.132340472937902405e+02 3.739078094742123994e+02 5.174000000000000000e+04
4.115238727386639761e-01 5.011905515197740897e+02 3.618643137001962486e+02 5.460200000000000000e+04
4.178033403078543762e-01 4.940903041339923334e+02 3.547640663144145492e+02 5.484400000000000000e+04
