# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 1.706865079525140754e+04 1.690648330347654337e+04 2.600000000000000000e+01
1.507912216506558135e-02 1.961924765951851077e+04 1.945708016774364660e+04 6.600000000000000000e+01
2.144790186456837014e-02 1.863656163166308761e+04 1.847439413988822344e+04 1.580000000000000000e+02
2.792609073416789378e-02 1.783967647661031879e+04 1.767750898483545461e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.457477089185578006e+04 1.441260340008091589e+04 4.040000000000000000e+02
4.063552503253392567e-02 1.170601600618040356e+04 1.154384851440553939e+04 4.920000000000000000e+02
4.685273545737825979e-02 1.064794747045892109e+04 1.048577997868405691e+04 7.160000000000000000e+02
5.308225101765943338e-02 9.718922464857445448e+03 9.556754973082581273e+03 8.660000000000000000e+02
5.947086026992840641e-02 8.557163447656377684e+03 8.394995955881513510e+03 1.176000000000000000e+03
6.579000890571343185e-02 8.046340129369305032e+03 7.884172637594439948e+03 1.358000000000000000e+03
7.197688940286899040e-02 7.427199957441483093e+03 7.265032465666618009e+03 1.620000000000000000e+03
7.827860915688306109e-02 6.736412552929018602e+03 6.574245061154153518e+03 1.970000000000000000e+03
8.473402853143152669e-02 6.021440056452067438e+03 5.859272564677202354e+03 2.388000000000000000e+03
9.114995057719250948e-02 5.269200252115104377e+03 5.107032760340239292e+03 2.642000000000000000e+03
9.733441570868076043e-02 4.586234089067773311e+03 4.424066597292908227e+03 2.948000000000000000e+03
1.034823507189909925e-01 4.307672160003978206e+03 4.145504668229113122e+03 3.312000000000000000e+03
1.097621497737264751e-01 3.929626658286720158e+03 3.767459166511855528e+03 3.920000000000000000e+03
1.161502569114246236e-01 3.740312548822763347e+03 3.578145057047898717e+03 4.368000000000000000e+03
1.224511299792719610e-01 3.566961758514926260e+03 3.404794266740061630e+03 4.706000000000000000e+03
1.287146397216415161e-01 3.351809214260591943e+03 3.189641722485727314e+03 5.312000000000000000e+03
1.349787624209431713e-01 3.152601227084465791e+03 2.990433735309601161e+03 5.712000000000000000e+03
1.412227094847550990e-01 2.923682521290830209e+03 2.761515029515965580e+03 6.380000000000000000e+03
1.475340300674937433e-01 2.731573019390138143e+03 2.569405527615273513e+03 6.966000000000000000e+03
1.538209950420127425e-01 2.519283148510027331e+03 2.357115656735162702e+03 7.448000000000000000e+03
1.600939799861342827e-01 2.348151884762290138e+03 2.185984392987425508e+03 8.252000000000000000e+03
1.664990542498203663e-01 2.283382625269681739e+03 2.121215133494817110e+03 9.032000000000000000e+03
1.728174132941030505e-01 2.154548856658455406e+03 1.992381364883590550e+03 9.454000000000000000e+03
1.789853057753862942e-01 2.047546556453763742e+03 1.885379064678898885e+03 9.842000000000000000e+03
1.852733873177464519e-01 1.969287430297185210e+03 1.807119938522320354e+03 1.128200000000000000e+04
1.915389716053957636e-01 1.829885247777036966e+03 1.667717756002172109e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.777333350601686561e+03 1.615165858826821704e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.701856035106405216e+03 1.539688543331540359e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.618905696919397997e+03 1.456738205144533140e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.559552329013716189e+03 1.397384837238851333e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.488677974647929432e+03 1.326510482873064575e+03 1.561200000000000000e+04
2.292666160073620063e-01 1.420062545838132337e+03 1.257895054063267480e+03 1.673000000000000000e+04
2.355414553524693422e-01 1.368259080169030995e+03 1.206091588394166138e+03 1.765200000000000000e+04
2.418784335992887613e-01 1.335899742143272988e+03 1.173732250368408131e+03 1.889000000000000000e+04
2.481481271052154158e-01 1.256471688684484889e+03 1.094304196909620032e+03 1.929800000000000000e+04
2.543650879168818379e-01 1.217235524887209976e+03 1.055068033112345120e+03 2.047000000000000000e+04
2.606536864982170187e-01 1.185097445292028624e+03 1.022929953517163767e+03 2.174800000000000000e+04
2.669516384221341521e-01 1.130650793287220722e+03 9.684833015123558653e+02 2.269000000000000000e+04
2.732605699623428253e-01 1.107346318278922354e+03 9.451788265040574970e+02 2.392000000000000000e+04
2.796050098145749785e-01 1.059800569909802334e+03 8.976330781349374774e+02 2.524600000000000000e+04
2.858914879318384394e-01 1.027503448095693784e+03 8.653359563208289273e+02 2.568400000000000000e+04
2.920995948224677785e-01 1.002506043541413646e+03 8.403385517665487896e+02 2.681600000000000000e+04
2.983507476243664192e-01 9.905059172539639576e+02 8.283384254790991008e+02 2.844000000000000000e+04
3.046505408519667446e-01 9.498865682249811471e+02 7.877190764501162903e+02 2.953800000000000000e+04
3.109471038444538982e-01 9.149981610313856208e+02 7.528306692565207641e+02 3.094400000000000000e+04
3.172476750734718465e-01 9.065883828460285940e+02 7.444208910711637373e+02 3.198000000000000000e+04
3.235400448401911655e-01 8.772847903676454280e+02 7.151172985927805712e+02 3.352600000000000000e+04
3.298240459879566155e-01 8.551859499238339595e+02 6.930184581489691027e+02 3.446400000000000000e+04
3.361484519828671913e-01 8.258711544968325597e+02 6.637036627219677030e+02 3.651400000000000000e+04
3.424245328606954630e-01 8.183484636306934590e+02 6.561809718558286022e+02 3.675800000000000000e+04
3.486779824429606656e-01 7.952399687547041367e+02 6.330724769798392799e+02 3.881000000000000000e+04
3.549863988041813134e-01 7.790510297736780103e+02 6.168835379988131535e+02 4.041000000000000000e+04
3.612333738091870750e-01 7.654525386578111465e+02 6.032850468829462898e+02 4.071400000000000000e+04
3.675042092955584372e-01 7.418402973903271231e+02 5.796728056154622664e+02 4.367000000000000000e+04
