# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 4.941666181754368881e+04 4.936210262797025644e+04 2.600000000000000000e+01
1.507912216506558135e-02 7.364623251391974918e+04 7.359167332434630953e+04 6.600000000000000000e+01
2.144790186456837014e-02 7.314257037892758672e+04 7.308801118935414706e+04 1.580000000000000000e+02
2.792609073416789378e-02 6.250613448635138047e+04 6.245157529677794810e+04 2.400000000000000000e+02
3.439458802618463457e-02 5.092218851386023016e+04 5.086762932428679778e+04 4.040000000000000000e+02
4.063552503253392567e-02 4.136811162321703159e+04 4.131355243364359922e+04 4.920000000000000000e+02
4.685273545737825979e-02 3.840379291065262805e+04 3.834923372107919567e+04 7.160000000000000000e+02
5.308225101765943338e-02 3.553560218688039458e+04 3.548104299730696221e+04 8.660000000000000000e+02
5.947086026992840641e-02 3.475832763782307302e+04 3.470376844824964064e+04 1.176000000000000000e+03
6.579000890571343185e-02 3.225551747074705781e+04 3.220095828117362544e+04 1.358000000000000000e+03
7.197688940286899040e-02 2.968909551401147837e+04 2.963453632443804599e+04 1.620000000000000000e+03
7.827860915688306109e-02 2.798879163805346980e+04 2.793423244848003742e+04 1.970000000000000000e+03
8.473402853143152669e-02 2.499789136573737051e+04 2.494333217616393813e+04 2.388000000000000000e+03
9.114995057719250948e-02 2.270012272167946867e+04 2.264556353210603629e+04 2.642000000000000000e+03
9.733441570868076043e-02 2.047876851219919263e+04 2.042420932262576025e+04 2.948000000000000000e+03
1.034823507189909925e-01 1.975435330370193697e+04 1.969979411412850459e+04 3.312000000000000000e+03
1.097621497737264751e-01 1.831988888204637624e+04 1.826532969247294386e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.749931634666851824e+04 1.744475715709508586e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.666564375492107138e+04 1.661108456534763900e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.645049400180748125e+04 1.639593481223404888e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.593564877931788578e+04 1.588108958974445159e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.510946117655085436e+04 1.505490198697742017e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.434849924167206700e+04 1.429394005209863280e+04 6.966000000000000000e+03
1.538209950420127425e-01 1.386242964942327308e+04 1.380787045984983888e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.356186755227750109e+04 1.350730836270406689e+04 8.252000000000000000e+03
1.664990542498203663e-01 1.298065910421227454e+04 1.292609991463884035e+04 9.032000000000000000e+03
1.728174132941030505e-01 1.266826036227798795e+04 1.261370117270455376e+04 9.454000000000000000e+03
1.789853057753862942e-01 1.215316983512676779e+04 1.209861064555333360e+04 9.842000000000000000e+03
1.852733873177464519e-01 1.217537231593167598e+04 1.212081312635824179e+04 1.128200000000000000e+04
1.915389716053957636e-01 1.155426849544396828e+04 1.149970930587053408e+04 1.131800000000000000e+04
1.978093968968032412e-01 1.132224129633659140e+04 1.126768210676315721e+04 1.268400000000000000e+04
2.041363739541903199e-01 1.127145691362946673e+04 1.121689772405603253e+04 1.328000000000000000e+04
2.104329801156032687e-01 1.094836702843833518e+04 1.089380783886490099e+04 1.408200000000000000e+04
2.167445339963977868e-01 1.065138790342786160e+04 1.059682871385442741e+04 1.513400000000000000e+04
2.230182219099299812e-01 1.033329666090163846e+04 1.027873747132820426e+04 1.561200000000000000e+04
2.292666160073620063e-01 1.026788547646273764e+04 1.021332628688930345e+04 1.673000000000000000e+04
2.355414553524693422e-01 1.022921783250946464e+04 1.017465864293603045e+04 1.765200000000000000e+04
2.418784335992887613e-01 9.967678722648688563e+03 9.913119533075254367e+03 1.889000000000000000e+04
2.481481271052154158e-01 9.760944479452278756e+03 9.706385289878844560e+03 1.929800000000000000e+04
2.543650879168818379e-01 9.519539323177174083e+03 9.464980133603739887e+03 2.047000000000000000e+04
2.606536864982170187e-01 9.599041553237992048e+03 9.544482363664557852e+03 2.174800000000000000e+04
2.669516384221341521e-01 9.487077038638037266e+03 9.432517849064603070e+03 2.269000000000000000e+04
2.732605699623428253e-01 9.295194505648243648e+03 9.240635316074809452e+03 2.392000000000000000e+04
2.796050098145749785e-01 9.229718474704930486e+03 9.175159285131496290e+03 2.524600000000000000e+04
2.858914879318384394e-01 9.007341936628890835e+03 8.952782747055456639e+03 2.568400000000000000e+04
2.920995948224677785e-01 9.017416953649377319e+03 8.962857764075943123e+03 2.681600000000000000e+04
2.983507476243664192e-01 8.954212802373745944e+03 8.899653612800311748e+03 2.844000000000000000e+04
3.046505408519667446e-01 8.701680527433160023e+03 8.647121337859725827e+03 2.953800000000000000e+04
3.109471038444538982e-01 8.687554757698919275e+03 8.632995568125485079e+03 3.094400000000000000e+04
