# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 1.801782180487345613e+04 1.787637400745612467e+04 2.600000000000000000e+01
1.507912216506558135e-02 2.138382390676905561e+04 2.124237610935172415e+04 6.600000000000000000e+01
2.144790186456837014e-02 2.016268768535513664e+04 2.002123988793780518e+04 1.580000000000000000e+02
2.792609073416789378e-02 1.876523727342097482e+04 1.862378947600364336e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.545863396897133498e+04 1.531718617155400170e+04 4.040000000000000000e+02
4.063552503253392567e-02 1.237743173990177274e+04 1.223598394248443947e+04 4.920000000000000000e+02
4.685273545737825979e-02 1.121788857147582894e+04 1.107644077405849566e+04 7.160000000000000000e+02
5.308225101765943338e-02 1.028113864641685905e+04 1.013969084899952577e+04 8.660000000000000000e+02
5.947086026992840641e-02 9.210303308498647311e+03 9.068855511081314035e+03 1.176000000000000000e+03
6.579000890571343185e-02 8.445477886786035015e+03 8.304030089368701738e+03 1.358000000000000000e+03
7.197688940286899040e-02 7.768142051641942089e+03 7.626694254224608812e+03 1.620000000000000000e+03
7.827860915688306109e-02 7.082614220159296565e+03 6.941166422741963288e+03 1.970000000000000000e+03
8.473402853143152669e-02 6.263378352102535246e+03 6.121930554685201969e+03 2.388000000000000000e+03
9.114995057719250948e-02 5.425898871401766883e+03 5.284451073984433606e+03 2.642000000000000000e+03
9.733441570868076043e-02 4.767290305440491466e+03 4.625842508023158189e+03 2.948000000000000000e+03
1.034823507189909925e-01 4.488040683858346711e+03 4.346592886441013434e+03 3.312000000000000000e+03
1.097621497737264751e-01 4.044272241800515076e+03 3.902824444383182254e+03 3.920000000000000000e+03
1.161502569114246236e-01 3.838737433390316710e+03 3.697289635972983888e+03 4.368000000000000000e+03
1.224511299792719610e-01 3.667269464775353299e+03 3.525821667358020477e+03 4.706000000000000000e+03
1.287146397216415161e-01 3.468060373904313110e+03 3.326612576486980288e+03 5.312000000000000000e+03
1.349787624209431713e-01 3.263165471767405961e+03 3.121717674350073139e+03 5.712000000000000000e+03
1.412227094847550990e-01 2.980459386095579248e+03 2.839011588678246426e+03 6.380000000000000000e+03
1.475340300674937433e-01 2.775157919296688306e+03 2.633710121879355484e+03 6.966000000000000000e+03
1.538209950420127425e-01 2.572036573409090124e+03 2.430588775991757302e+03 7.448000000000000000e+03
1.600939799861342827e-01 2.395099938347884290e+03 2.253652140930551468e+03 8.252000000000000000e+03
1.664990542498203663e-01 2.300628403763992083e+03 2.159180606346659260e+03 9.032000000000000000e+03
1.728174132941030505e-01 2.184287340371560731e+03 2.042839542954227682e+03 9.454000000000000000e+03
1.789853057753862942e-01 2.094025785199780330e+03 1.952577987782447281e+03 9.842000000000000000e+03
1.852733873177464519e-01 2.002515620710526264e+03 1.861067823293193214e+03 1.128200000000000000e+04
1.915389716053957636e-01 1.861971979087278896e+03 1.720524181669945847e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.791055967276556885e+03 1.649608169859223835e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.718581248940688283e+03 1.577133451523355234e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.623587374204988691e+03 1.482139576787655642e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.552855315864657541e+03 1.411407518447324492e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.491951196221690225e+03 1.350503398804357175e+03 1.561200000000000000e+04
2.292666160073620063e-01 1.406299354474597067e+03 1.264851557057264017e+03 1.673000000000000000e+04
2.355414553524693422e-01 1.362038042080113883e+03 1.220590244662780833e+03 1.765200000000000000e+04
2.418784335992887613e-01 1.324749969145479326e+03 1.183302171728146277e+03 1.889000000000000000e+04
2.481481271052154158e-01 1.241577968203898081e+03 1.100130170786565031e+03 1.929800000000000000e+04
2.543650879168818379e-01 1.208253420868071316e+03 1.066805623450738267e+03 2.047000000000000000e+04
2.606536864982170187e-01 1.173501043943749892e+03 1.032053246526416842e+03 2.174800000000000000e+04
2.669516384221341521e-01 1.125955999673648648e+03 9.845082022563157125e+02 2.269000000000000000e+04
2.732605699623428253e-01 1.090364820615180179e+03 9.489170231978472430e+02 2.392000000000000000e+04
2.796050098145749785e-01 1.048804255413251212e+03 9.073564579959182765e+02 2.524600000000000000e+04
2.858914879318384394e-01 1.013864733181067891e+03 8.724169357637349549e+02 2.568400000000000000e+04
2.920995948224677785e-01 9.847324468353937164e+02 8.432846494180607806e+02 2.681600000000000000e+04
2.983507476243664192e-01 9.711783318874109909e+02 8.297305344700780552e+02 2.844000000000000000e+04
3.046505408519667446e-01 9.285515136477828264e+02 7.871037162304498906e+02 2.953800000000000000e+04
3.109471038444538982e-01 9.006393529296161660e+02 7.591915555122832302e+02 3.094400000000000000e+04
