# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 6.371580861877703865e+04 6.366263532147109800e+04 2.600000000000000000e+01
1.507912216506558135e-02 7.702320989568199730e+04 7.697003659837605665e+04 6.600000000000000000e+01
2.144790186456837014e-02 7.262192888307487010e+04 7.256875558576892945e+04 1.580000000000000000e+02
2.792609073416789378e-02 6.496293666739707987e+04 6.490976337009113922e+04 2.400000000000000000e+02
3.439458802618463457e-02 5.327903889038498892e+04 5.322586559307904827e+04 4.040000000000000000e+02
4.063552503253392567e-02 4.471575984999463981e+04 4.466258655268869916e+04 4.920000000000000000e+02
4.685273545737825979e-02 4.070825145167445589e+04 4.065507815436851524e+04 7.160000000000000000e+02
5.308225101765943338e-02 3.640482393216043420e+04 3.635165063485449355e+04 8.660000000000000000e+02
5.947086026992840641e-02 3.694302118325138872e+04 3.688984788594544807e+04 1.176000000000000000e+03
6.579000890571343185e-02 3.463342930971388705e+04 3.458025601240794640e+04 1.358000000000000000e+03
7.197688940286899040e-02 3.056305350412442203e+04 3.050988020681847775e+04 1.620000000000000000e+03
7.827860915688306109e-02 2.967573311354615362e+04 2.962255981624020933e+04 1.970000000000000000e+03
8.473402853143152669e-02 2.560157646601156739e+04 2.554840316870562310e+04 2.388000000000000000e+03
9.114995057719250948e-02 2.435520275954606768e+04 2.430202946224012339e+04 2.642000000000000000e+03
9.733441570868076043e-02 2.230643421675526770e+04 2.225326091944932341e+04 2.948000000000000000e+03
1.034823507189909925e-01 2.194402017278511266e+04 2.189084687547916838e+04 3.312000000000000000e+03
1.097621497737264751e-01 2.014846505010765031e+04 2.009529175280170602e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.903819946484445245e+04 1.898502616753850816e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.885283541227539172e+04 1.879966211496944743e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.748408532006237510e+04 1.743091202275643082e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.754353806026427264e+04 1.749036476295832836e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.630616835588589129e+04 1.625299505857994882e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.582693759509174197e+04 1.577376429778579950e+04 6.966000000000000000e+03
1.538209950420127425e-01 1.538969255948720638e+04 1.533651926218126391e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.454748575058783899e+04 1.449431245328189652e+04 8.252000000000000000e+03
1.664990542498203663e-01 1.442736700139383356e+04 1.437419370408789109e+04 9.032000000000000000e+03
1.728174132941030505e-01 1.413239672331238216e+04 1.407922342600643969e+04 9.454000000000000000e+03
1.789853057753862942e-01 1.380816498584102737e+04 1.375499168853508490e+04 9.842000000000000000e+03
1.852733873177464519e-01 1.333468985526150027e+04 1.328151655795555780e+04 1.128200000000000000e+04
1.915389716053957636e-01 1.323114290913256082e+04 1.317796961182661835e+04 1.131800000000000000e+04
1.978093968968032412e-01 1.259830864049170486e+04 1.254513534318576239e+04 1.268400000000000000e+04
2.041363739541903199e-01 1.261739923821603588e+04 1.256422594091009341e+04 1.328000000000000000e+04
2.104329801156032687e-01 1.218682718089048831e+04 1.213365388358454584e+04 1.408200000000000000e+04
2.167445339963977868e-01 1.193791537386879099e+04 1.188474207656284852e+04 1.513400000000000000e+04
2.230182219099299812e-01 1.139851756312668476e+04 1.134534426582074229e+04 1.561200000000000000e+04
2.292666160073620063e-01 1.149758447797470762e+04 1.144441118066876516e+04 1.673000000000000000e+04
2.355414553524693422e-01 1.124446181321289441e+04 1.119128851590695194e+04 1.765200000000000000e+04
2.418784335992887613e-01 1.112584670700657080e+04 1.107267340970062833e+04 1.889000000000000000e+04
2.481481271052154158e-01 1.066730098680333322e+04 1.061412768949739075e+04 1.929800000000000000e+04
2.543650879168818379e-01 1.065696143587976803e+04 1.060378813857382556e+04 2.047000000000000000e+04
2.606536864982170187e-01 1.059925269813015257e+04 1.054607940082421010e+04 2.174800000000000000e+04
2.669516384221341521e-01 1.042035481333718781e+04 1.036718151603124534e+04 2.269000000000000000e+04
2.732605699623428253e-01 1.018910573698659209e+04 1.013593243968064962e+04 2.392000000000000000e+04
2.796050098145749785e-01 1.014181654089355470e+04 1.008864324358761223e+04 2.524600000000000000e+04
2.858914879318384394e-01 1.007761216371769660e+04 1.002443886641175413e+04 2.568400000000000000e+04
2.920995948224677785e-01 9.998754095292311831e+03 9.945580797986369362e+03 2.681600000000000000e+04
2.983507476243664192e-01 9.765662256908757627e+03 9.712488959602815157e+03 2.844000000000000000e+04
3.046505408519667446e-01 9.768130489073546414e+03 9.714957191767603945e+03 2.953800000000000000e+04
3.109471038444538982e-01 9.426297824413635681e+03 9.373124527107693211e+03 3.094400000000000000e+04
3.172476750734718465e-01 9.642901289938046830e+03 9.589727992632104360e+03 3.198000000000000000e+04
3.235400448401911655e-01 9.378495266758756770e+03 9.325321969452814301e+03 3.352600000000000000e+04
3.298240459879566155e-01 9.327166166870058078e+03 9.273992869564115608e+03 3.446400000000000000e+04
3.361484519828671913e-01 9.177036436187345316e+03 9.123863138881402847e+03 3.651400000000000000e+04
3.424245328606954630e-01 9.156566027230412146e+03 9.103392729924469677e+03 3.675800000000000000e+04
3.486779824429606656e-01 9.018168291818545185e+03 8.964994994512602716e+03 3.881000000000000000e+04
3.549863988041813134e-01 8.977802195623004081e+03 8.924628898317061612e+03 4.041000000000000000e+04
3.612333738091870750e-01 8.986628488882855891e+03 8.933455191576913421e+03 4.071400000000000000e+04
3.675042092955584372e-01 8.865331545685119636e+03 8.812158248379177166e+03 4.367000000000000000e+04
3.737994570270907757e-01 8.848153555257284097e+03 8.794980257951341628e+03 4.398600000000000000e+04
3.800864636623462745e-01 8.781103846302963575e+03 8.727930548997021106e+03 4.642800000000000000e+04
3.863718149601460539e-01 8.843258835252017889e+03 8.790085537946075419e+03 4.723600000000000000e+04
3.926652062093009543e-01 8.595797482327861871e+03 8.542624185021919402e+03 4.938600000000000000e+04
3.989690954083237040e-01 8.555422464141305682e+03 8.502249166835363212e+03 5.079600000000000000e+04
4.052314429539636831e-01 8.624688888082766425e+03 8.571515590776823956e+03 5.174000000000000000e+04
4.115238727386639761e-01 8.514857427931699931e+03 8.461684130625757462e+03 5.460200000000000000e+04
4.178033403078543762e-01 8.404292388772890263e+03 8.351119091466947793e+03 5.484400000000000000e+04
4.240515472996450597e-01 8.406297385347950694e+03 8.353124088042008225e+03 5.723200000000000000e+04
4.303677505012359350e-01 8.383838130707259552e+03 8.330664833401317082e+03 5.964800000000000000e+04
4.366726307806358953e-01 8.350191019028490700e+03 8.297017721722548231e+03 6.038400000000000000e+04
4.429228297480427012e-01 8.335655735932976313e+03 8.282482438627033844e+03 6.217000000000000000e+04
4.491736915552866916e-01 8.198154751584426776e+03 8.144981454278483398e+03 6.383200000000000000e+04
4.554569188183393291e-01 8.206667292015983548e+03 8.153493994710040170e+03 6.627200000000000000e+04
4.617788911268420060e-01 8.133240146605117843e+03 8.080066849299174464e+03 6.860400000000000000e+04
4.680995906845802912e-01 8.066815060635513873e+03 8.013641763329570495e+03 6.982400000000000000e+04
4.743866829976556287e-01 8.099092627533070299e+03 8.045919330227126920e+03 7.159800000000000000e+04
4.806701266904181979e-01 8.031123812047771935e+03 7.977950514741828556e+03 7.363400000000000000e+04
4.869464029839004060e-01 8.048949161391117741e+03 7.995775864085174362e+03 7.514600000000000000e+04
4.932051255392171929e-01 7.958227068578069520e+03 7.905053771272126141e+03 7.732800000000000000e+04
4.994696626648479909e-01 7.906909295106935133e+03 7.853735997800991754e+03 7.884800000000000000e+04
5.057193073175597631e-01 7.814724186217921670e+03 7.761550888911978291e+03 8.116400000000000000e+04
5.119989495044070527e-01 7.868050528432781903e+03 7.814877231126838524e+03 8.364400000000000000e+04
5.183159826466314790e-01 7.794559638920518410e+03 7.741386341614575031e+03 8.615600000000000000e+04
5.246107092885408107e-01 7.779103521110546353e+03 7.725930223804602974e+03 8.741000000000000000e+04
5.308819677746196009e-01 7.796286952799518076e+03 7.743113655493574697e+03 8.933800000000000000e+04
5.371663275127862569e-01 7.767986241008667093e+03 7.714812943702723715e+03 9.246200000000000000e+04
5.434900758720350167e-01 7.716597320307930204e+03 7.663424023001986825e+03 9.450400000000000000e+04
5.497699542502575420e-01 7.697900153237825180e+03 7.644726855931881801e+03 9.565800000000000000e+04
5.560083363989032357e-01 7.703362079421095586e+03 7.650188782115152208e+03 9.759800000000000000e+04
5.623114537777685884e-01 7.704935265505286225e+03 7.651761968199342846e+03 1.019620000000000000e+05
5.686318313430648308e-01 7.619938323330214189e+03 7.566765026024270810e+03 1.029860000000000000e+05
5.748997298340194906e-01 7.618690221829411712e+03 7.565516924523468333e+03 1.044280000000000000e+05
5.811784316152807106e-01 7.635721177626768622e+03 7.582547880320825243e+03 1.082760000000000000e+05
5.874623501555152894e-01 7.557005790034271740e+03 7.503832492728328361e+03 1.091300000000000000e+05
5.937358705487374433e-01 7.507899656789053552e+03 7.454726359483110173e+03 1.124920000000000000e+05
6.000132321575981642e-01 7.548430594603069039e+03 7.495257297297125660e+03 1.142380000000000000e+05
