# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 2.133306641245730498e+04 2.119013480223123406e+04 2.600000000000000000e+01
1.507912216506558135e-02 2.384306169708818197e+04 2.370013008686211106e+04 6.600000000000000000e+01
2.144790186456837014e-02 2.301209495589640574e+04 2.286916334567033482e+04 1.580000000000000000e+02
2.792609073416789378e-02 2.109822248643008425e+04 2.095529087620401333e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.746821818901193910e+04 1.732528657878586819e+04 4.040000000000000000e+02
4.063552503253392567e-02 1.392158182600875261e+04 1.377865021578268170e+04 4.920000000000000000e+02
4.685273545737825979e-02 1.248233466384767235e+04 1.233940305362160143e+04 7.160000000000000000e+02
5.308225101765943338e-02 1.166999549164657583e+04 1.152706388142050491e+04 8.660000000000000000e+02
5.947086026992840641e-02 1.025960597780505123e+04 1.011667436757898031e+04 1.176000000000000000e+03
6.579000890571343185e-02 9.478863421443147672e+03 9.335931811217076756e+03 1.358000000000000000e+03
7.197688940286899040e-02 8.618108813533272041e+03 8.475177203307201125e+03 1.620000000000000000e+03
7.827860915688306109e-02 7.772980230089015095e+03 7.630048619862944179e+03 1.970000000000000000e+03
8.473402853143152669e-02 6.906464080244581965e+03 6.763532470018511049e+03 2.388000000000000000e+03
9.114995057719250948e-02 5.987167382090009596e+03 5.844235771863938680e+03 2.642000000000000000e+03
9.733441570868076043e-02 5.250492562707769139e+03 5.107560952481698223e+03 2.948000000000000000e+03
1.034823507189909925e-01 4.950314301564653761e+03 4.807382691338582845e+03 3.312000000000000000e+03
1.097621497737264751e-01 4.454532839880869687e+03 4.311601229654798772e+03 3.920000000000000000e+03
1.161502569114246236e-01 4.221823307919919898e+03 4.078891697693849437e+03 4.368000000000000000e+03
1.224511299792719610e-01 4.002088473966710353e+03 3.859156863740639892e+03 4.706000000000000000e+03
1.287146397216415161e-01 3.807376219505889821e+03 3.664444609279819360e+03 5.312000000000000000e+03
1.349787624209431713e-01 3.629694993388567582e+03 3.486763383162497121e+03 5.712000000000000000e+03
1.412227094847550990e-01 3.287158912673450686e+03 3.144227302447380225e+03 6.380000000000000000e+03
1.475340300674937433e-01 3.040213548960654407e+03 2.897281938734583946e+03 6.966000000000000000e+03
1.538209950420127425e-01 2.832127187981407587e+03 2.689195577755337126e+03 7.448000000000000000e+03
1.600939799861342827e-01 2.650253175608979745e+03 2.507321565382909284e+03 8.252000000000000000e+03
1.664990542498203663e-01 2.542723442148286722e+03 2.399791831922216261e+03 9.032000000000000000e+03
1.728174132941030505e-01 2.398857781562812761e+03 2.255926171336742300e+03 9.454000000000000000e+03
1.789853057753862942e-01 2.281537665993078463e+03 2.138606055767008002e+03 9.842000000000000000e+03
1.852733873177464519e-01 2.188216992683148419e+03 2.045285382457077731e+03 1.128200000000000000e+04
1.915389716053957636e-01 2.032240910299046618e+03 1.889309300072975930e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.986228990305186244e+03 1.843297380079115555e+03 1.268400000000000000e+04
