# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 3.252294168982541669e+04 3.247022311412950148e+04 2.600000000000000000e+01
1.507912216506558135e-02 3.578013584229587286e+04 3.572741726659995766e+04 6.600000000000000000e+01
2.144790186456837014e-02 2.796364008687217211e+04 2.791092151117625690e+04 1.580000000000000000e+02
2.792609073416789378e-02 3.017508831371835913e+04 3.012236973802244393e+04 2.400000000000000000e+02
3.439458802618463457e-02 2.599548013517107756e+04 2.594276155947516236e+04 4.040000000000000000e+02
4.063552503253392567e-02 2.178596231186231671e+04 2.173324373616640150e+04 4.920000000000000000e+02
4.685273545737825979e-02 2.063293849740044607e+04 2.058021992170453086e+04 7.160000000000000000e+02
5.308225101765943338e-02 2.030114286507615907e+04 2.024842428938024386e+04 8.660000000000000000e+02
5.947086026992840641e-02 1.938090854867301459e+04 1.932818997297709939e+04 1.176000000000000000e+03
6.579000890571343185e-02 1.733730657928415530e+04 1.728458800358824010e+04 1.358000000000000000e+03
7.197688940286899040e-02 1.696770888291918891e+04 1.691499030722327370e+04 1.620000000000000000e+03
7.827860915688306109e-02 1.677050679816017509e+04 1.671778822246425989e+04 1.970000000000000000e+03
8.473402853143152669e-02 1.535657554474953940e+04 1.530385696905362602e+04 2.388000000000000000e+03
9.114995057719250948e-02 1.425296641796747099e+04 1.420024784227155760e+04 2.642000000000000000e+03
9.733441570868076043e-02 1.265581397080090937e+04 1.260309539510499599e+04 2.948000000000000000e+03
1.034823507189909925e-01 1.298814089949953086e+04 1.293542232380361747e+04 3.312000000000000000e+03
1.097621497737264751e-01 1.224373691649079774e+04 1.219101834079488435e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.221190237391720439e+04 1.215918379822129100e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.183459161840423985e+04 1.178187304270832647e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.148323035537894975e+04 1.143051177968303637e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.156990917218412505e+04 1.151719059648821167e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.081205575310798304e+04 1.075933717741206965e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.077513425452699994e+04 1.072241567883108655e+04 6.966000000000000000e+03
1.538209950420127425e-01 1.039615609228091489e+04 1.034343751658500150e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.015924546305131480e+04 1.010652688735540141e+04 8.252000000000000000e+03
1.664990542498203663e-01 9.785183796164039450e+03 9.732465220468126063e+03 9.032000000000000000e+03
1.728174132941030505e-01 9.873794928344314030e+03 9.821076352648400643e+03 9.454000000000000000e+03
1.789853057753862942e-01 9.439714638473804371e+03 9.386996062777890984e+03 9.842000000000000000e+03
1.852733873177464519e-01 9.494315996079561955e+03 9.441597420383648569e+03 1.128200000000000000e+04
1.915389716053957636e-01 9.312849613389280421e+03 9.260131037693367034e+03 1.131800000000000000e+04
1.978093968968032412e-01 9.331770113118855079e+03 9.279051537422941692e+03 1.268400000000000000e+04
2.041363739541903199e-01 9.256966660739550207e+03 9.204248085043636820e+03 1.328000000000000000e+04
2.104329801156032687e-01 9.061904048893698928e+03 9.009185473197785541e+03 1.408200000000000000e+04
2.167445339963977868e-01 9.068997277736863907e+03 9.016278702040950520e+03 1.513400000000000000e+04
2.230182219099299812e-01 9.054195528826749069e+03 9.001476953130835682e+03 1.561200000000000000e+04
2.292666160073620063e-01 8.806132690580912822e+03 8.753414114884999435e+03 1.673000000000000000e+04
2.355414553524693422e-01 8.807137400746318235e+03 8.754418825050404848e+03 1.765200000000000000e+04
2.418784335992887613e-01 8.709160657059866935e+03 8.656442081363953548e+03 1.889000000000000000e+04
2.481481271052154158e-01 8.644444925184927342e+03 8.591726349489013955e+03 1.929800000000000000e+04
2.543650879168818379e-01 8.355079408250592678e+03 8.302360832554679291e+03 2.047000000000000000e+04
2.606536864982170187e-01 8.326272659271868179e+03 8.273554083575954792e+03 2.174800000000000000e+04
2.669516384221341521e-01 8.507865121424712925e+03 8.455146545728799538e+03 2.269000000000000000e+04
2.732605699623428253e-01 8.194541522623776473e+03 8.141822946927862176e+03 2.392000000000000000e+04
2.796050098145749785e-01 8.183432234539333876e+03 8.130713658843419580e+03 2.524600000000000000e+04
2.858914879318384394e-01 8.275101799094170929e+03 8.222383223398257542e+03 2.568400000000000000e+04
2.920995948224677785e-01 8.127968815041353082e+03 8.075250239345438786e+03 2.681600000000000000e+04
2.983507476243664192e-01 8.309834324248991834e+03 8.257115748553078447e+03 2.844000000000000000e+04
3.046505408519667446e-01 8.078742469401677226e+03 8.026023893705762930e+03 2.953800000000000000e+04
3.109471038444538982e-01 8.044302336950451718e+03 7.991583761254537421e+03 3.094400000000000000e+04
3.172476750734718465e-01 8.060957081495263992e+03 8.008238505799349696e+03 3.198000000000000000e+04
3.235400448401911655e-01 7.993601976815488342e+03 7.940883401119574046e+03 3.352600000000000000e+04
3.298240459879566155e-01 7.996655081601445090e+03 7.943936505905530794e+03 3.446400000000000000e+04
3.361484519828671913e-01 8.088004300102767047e+03 8.035285724406852751e+03 3.651400000000000000e+04
3.424245328606954630e-01 7.963134909742640957e+03 7.910416334046726661e+03 3.675800000000000000e+04
3.486779824429606656e-01 7.992247832239690979e+03 7.939529256543776683e+03 3.881000000000000000e+04
3.549863988041813134e-01 7.872987808391882027e+03 7.820269232695967730e+03 4.041000000000000000e+04
3.612333738091870750e-01 7.850851261942826568e+03 7.798132686246912272e+03 4.071400000000000000e+04
3.675042092955584372e-01 7.878577569963779752e+03 7.825858994267865455e+03 4.367000000000000000e+04
3.737994570270907757e-01 7.700766725888460314e+03 7.648048150192546018e+03 4.398600000000000000e+04
3.800864636623462745e-01 7.856655534112127498e+03 7.803936958416213201e+03 4.642800000000000000e+04
3.863718149601460539e-01 7.676115885495801194e+03 7.623397309799886898e+03 4.723600000000000000e+04
3.926652062093009543e-01 7.753166007794203324e+03 7.700447432098289028e+03 4.938600000000000000e+04
3.989690954083237040e-01 7.632461828469109605e+03 7.579743252773195309e+03 5.079600000000000000e+04
4.052314429539636831e-01 7.689661624874890549e+03 7.636943049178976253e+03 5.174000000000000000e+04
4.115238727386639761e-01 7.658468821364850555e+03 7.605750245668936259e+03 5.460200000000000000e+04
4.178033403078543762e-01 7.723231106857119812e+03 7.670512531161205516e+03 5.484400000000000000e+04
4.240515472996450597e-01 7.613389619947814936e+03 7.560671044251900639e+03 5.723200000000000000e+04
4.303677505012359350e-01 7.631497552780644583e+03 7.578778977084730286e+03 5.964800000000000000e+04
4.366726307806358953e-01 7.648175124452312048e+03 7.595456548756397751e+03 6.038400000000000000e+04
4.429228297480427012e-01 7.552338973036071366e+03 7.499620397340157069e+03 6.217000000000000000e+04
4.491736915552866916e-01 7.567286339908282571e+03 7.514567764212368274e+03 6.383200000000000000e+04
4.554569188183393291e-01 7.488413507011105139e+03 7.435694931315190843e+03 6.627200000000000000e+04
4.617788911268420060e-01 7.585110600692279149e+03 7.532392024996364853e+03 6.860400000000000000e+04
4.680995906845802912e-01 7.459032700296133953e+03 7.406314124600219657e+03 6.982400000000000000e+04
4.743866829976556287e-01 7.526943582435798817e+03 7.474225006739884520e+03 7.159800000000000000e+04
4.806701266904181979e-01 7.479132747804782412e+03 7.426414172108868115e+03 7.363400000000000000e+04
4.869464029839004060e-01 7.416312617201892863e+03 7.363594041505978566e+03 7.514600000000000000e+04
4.932051255392171929e-01 7.472095894221559320e+03 7.419377318525645023e+03 7.732800000000000000e+04
4.994696626648479909e-01 7.436637756826666191e+03 7.383919181130751895e+03 7.884800000000000000e+04
5.057193073175597631e-01 7.437236766849381638e+03 7.384518191153467342e+03 8.116400000000000000e+04
5.119989495044070527e-01 7.461963621626130589e+03 7.409245045930216293e+03 8.364400000000000000e+04
5.183159826466314790e-01 7.427106106894080767e+03 7.374387531198166471e+03 8.615600000000000000e+04
5.246107092885408107e-01 7.445681043092235086e+03 7.392962467396320790e+03 8.741000000000000000e+04
5.308819677746196009e-01 7.401522967669965510e+03 7.348804391974051214e+03 8.933800000000000000e+04
5.371663275127862569e-01 7.405683129451056629e+03 7.352964553755142333e+03 9.246200000000000000e+04
5.434900758720350167e-01 7.406811996207085031e+03 7.354093420511170734e+03 9.450400000000000000e+04
5.497699542502575420e-01 7.358065654385480229e+03 7.305347078689565933e+03 9.565800000000000000e+04
5.560083363989032357e-01 7.374265946665706906e+03 7.321547370969792610e+03 9.759800000000000000e+04
5.623114537777685884e-01 7.300014715878207426e+03 7.247296140182293129e+03 1.019620000000000000e+05
5.686318313430648308e-01 7.304510988927245307e+03 7.251792413231331011e+03 1.029860000000000000e+05
5.748997298340194906e-01 7.287573669307393175e+03 7.234855093611478878e+03 1.044280000000000000e+05
5.811784316152807106e-01 7.340513501221626029e+03 7.287794925525711733e+03 1.082760000000000000e+05
5.874623501555152894e-01 7.330324883865055199e+03 7.277606308169140902e+03 1.091300000000000000e+05
5.937358705487374433e-01 7.310850394489988503e+03 7.258131818794074206e+03 1.124920000000000000e+05
6.000132321575981642e-01 7.344704496705197926e+03 7.291985921009283629e+03 1.142380000000000000e+05
6.062764279011477742e-01 7.256600553363424297e+03 7.203881977667510000e+03 1.165200000000000000e+05
6.125579126729602253e-01 7.271076922307493078e+03 7.218358346611578781e+03 1.198680000000000000e+05
6.188758883571132685e-01 7.291410450094367661e+03 7.238691874398453365e+03 1.227600000000000000e+05
6.251574688191492424e-01 7.276521901015206822e+03 7.223803325319292526e+03 1.235740000000000000e+05
6.314078328527679140e-01 7.253458087858311956e+03 7.200739512162397659e+03 1.265060000000000000e+05
6.377090179731219610e-01 7.206147822428714790e+03 7.153429246732800493e+03 1.303720000000000000e+05
6.440064460832264359e-01 7.270657880366606150e+03 7.217939304670691854e+03 1.318120000000000000e+05
6.502830651582106603e-01 7.231353407680014243e+03 7.178634831984099947e+03 1.344920000000000000e+05
