# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 1.183981032512394813e+04 1.169668576424799176e+04 2.600000000000000000e+01
1.507912216506558135e-02 1.251741758413480966e+04 1.237429302325885328e+04 6.600000000000000000e+01
2.144790186456837014e-02 1.214434609907861159e+04 1.200122153820265521e+04 1.580000000000000000e+02
2.792609073416789378e-02 1.170407494113632856e+04 1.156095038026037219e+04 2.400000000000000000e+02
3.439458802618463457e-02 9.633535678089425346e+03 9.490411117213468970e+03 4.040000000000000000e+02
4.063552503253392567e-02 7.687883622918287983e+03 7.544759062042331607e+03 4.920000000000000000e+02
4.685273545737825979e-02 7.131883071390783698e+03 6.988758510514827321e+03 7.160000000000000000e+02
5.308225101765943338e-02 6.407294317959390355e+03 6.264169757083433979e+03 8.660000000000000000e+02
5.947086026992840641e-02 5.783777845191338201e+03 5.640653284315381825e+03 1.176000000000000000e+03
6.579000890571343185e-02 5.366300211338540976e+03 5.223175650462584599e+03 1.358000000000000000e+03
7.197688940286899040e-02 4.991432884680703864e+03 4.848308323804747488e+03 1.620000000000000000e+03
7.827860915688306109e-02 4.571649752060155151e+03 4.428525191184198775e+03 1.970000000000000000e+03
8.473402853143152669e-02 4.160846715690012388e+03 4.017722154814055557e+03 2.388000000000000000e+03
9.114995057719250948e-02 3.600283929974155399e+03 3.457159369098198567e+03 2.642000000000000000e+03
9.733441570868076043e-02 3.156223209223846879e+03 3.013098648347890048e+03 2.948000000000000000e+03
1.034823507189909925e-01 2.997288947733707118e+03 2.854164386857750287e+03 3.312000000000000000e+03
1.097621497737264751e-01 2.727988335852173805e+03 2.584863774976216973e+03 3.920000000000000000e+03
1.161502569114246236e-01 2.644004191130192794e+03 2.500879630254235963e+03 4.368000000000000000e+03
1.224511299792719610e-01 2.499268361802822710e+03 2.356143800926865879e+03 4.706000000000000000e+03
1.287146397216415161e-01 2.378216315335659147e+03 2.235091754459702315e+03 5.312000000000000000e+03
1.349787624209431713e-01 2.252808001316360787e+03 2.109683440440403956e+03 5.712000000000000000e+03
1.412227094847550990e-01 2.057817468160035787e+03 1.914692907284079183e+03 6.380000000000000000e+03
1.475340300674937433e-01 1.936330938117377400e+03 1.793206377241420796e+03 6.966000000000000000e+03
1.538209950420127425e-01 1.810240280370298024e+03 1.667115719494341420e+03 7.448000000000000000e+03
1.600939799861342827e-01 1.685007242534973784e+03 1.541882681659017180e+03 8.252000000000000000e+03
1.664990542498203663e-01 1.620077926145823994e+03 1.476953365269867390e+03 9.032000000000000000e+03
1.728174132941030505e-01 1.555824602157195386e+03 1.412700041281238782e+03 9.454000000000000000e+03
1.789853057753862942e-01 1.479388738715653062e+03 1.336264177839696458e+03 9.842000000000000000e+03
1.852733873177464519e-01 1.412469268509568110e+03 1.269344707633611506e+03 1.128200000000000000e+04
1.915389716053957636e-01 1.324199746948600023e+03 1.181075186072643419e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.285166803500016385e+03 1.142042242624059782e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.243581773296382835e+03 1.100457212420426231e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.172071459088445863e+03 1.028946898212489259e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.129169778218767533e+03 9.860452173428109290e+02 1.513400000000000000e+04
2.230182219099299812e-01 1.083562125973979846e+03 9.404375650980232422e+02 1.561200000000000000e+04
2.292666160073620063e-01 1.033245677832061574e+03 8.901211169561049701e+02 1.673000000000000000e+04
2.355414553524693422e-01 9.919653470663002963e+02 8.488407861903435787e+02 1.765200000000000000e+04
2.418784335992887613e-01 9.651627237118326548e+02 8.220381628358759372e+02 1.889000000000000000e+04
2.481481271052154158e-01 9.201292524221219082e+02 7.770046915461653043e+02 1.929800000000000000e+04
2.543650879168818379e-01 8.953115249412837784e+02 7.521869640653271745e+02 2.047000000000000000e+04
2.606536864982170187e-01 8.636397707963583343e+02 7.205152099204017304e+02 2.174800000000000000e+04
2.669516384221341521e-01 8.406643733611660991e+02 6.975398124852094952e+02 2.269000000000000000e+04
2.732605699623428253e-01 8.172786844898744221e+02 6.741541236139178181e+02 2.392000000000000000e+04
2.796050098145749785e-01 7.839492436261153898e+02 6.408246827501586722e+02 2.524600000000000000e+04
2.858914879318384394e-01 7.623925637103143345e+02 6.192680028343577305e+02 2.568400000000000000e+04
2.920995948224677785e-01 7.428176633264032489e+02 5.996931024504465313e+02 2.681600000000000000e+04
2.983507476243664192e-01 7.390184129067873755e+02 5.958938520308306579e+02 2.844000000000000000e+04
3.046505408519667446e-01 7.038241876577261564e+02 5.606996267817694388e+02 2.953800000000000000e+04
3.109471038444538982e-01 6.886166956503050187e+02 5.454921347743484148e+02 3.094400000000000000e+04
3.172476750734718465e-01 6.731899751330454365e+02 5.300654142570888325e+02 3.198000000000000000e+04
3.235400448401911655e-01 6.587139118823057515e+02 5.155893510063490339e+02 3.352600000000000000e+04
3.298240459879566155e-01 6.420114153335481433e+02 4.988868544575914825e+02 3.446400000000000000e+04
3.361484519828671913e-01 6.166088432712740541e+02 4.734842823953173934e+02 3.651400000000000000e+04
3.424245328606954630e-01 6.108171163986540932e+02 4.676925555226974325e+02 3.675800000000000000e+04
3.486779824429606656e-01 6.004375515074286795e+02 4.573129906314720188e+02 3.881000000000000000e+04
3.549863988041813134e-01 5.887586586821731771e+02 4.456340978062165163e+02 4.041000000000000000e+04
3.612333738091870750e-01 5.756787380380552577e+02 4.325541771620985969e+02 4.071400000000000000e+04
3.675042092955584372e-01 5.601568753866323505e+02 4.170323145106756897e+02 4.367000000000000000e+04
3.737994570270907757e-01 5.524888265018081484e+02 4.093642656258514876e+02 4.398600000000000000e+04
3.800864636623462745e-01 5.382973699693060325e+02 3.951728090933493718e+02 4.642800000000000000e+04
3.863718149601460539e-01 5.290868394178270364e+02 3.859622785418703756e+02 4.723600000000000000e+04
3.926652062093009543e-01 5.182760631575868047e+02 3.751515022816301439e+02 4.938600000000000000e+04
3.989690954083237040e-01 5.063277736862301595e+02 3.632032128102734987e+02 5.079600000000000000e+04
4.052314429539636831e-01 4.966524528745075031e+02 3.535278919985508423e+02 5.174000000000000000e+04
4.115238727386639761e-01 4.882137736210276557e+02 3.450892127450709950e+02 5.460200000000000000e+04
4.178033403078543762e-01 4.802750122142272176e+02 3.371504513382705568e+02 5.484400000000000000e+04
4.240515472996450597e-01 4.739888099643030728e+02 3.308642490883464120e+02 5.723200000000000000e+04
4.303677505012359350e-01 4.706780557991898490e+02 3.275534949232331883e+02 5.964800000000000000e+04
4.366726307806358953e-01 4.588933399724913329e+02 3.157687790965346721e+02 6.038400000000000000e+04
4.429228297480427012e-01 4.576980549543328607e+02 3.145734940783761999e+02 6.217000000000000000e+04
4.491736915552866916e-01 4.491155280489504662e+02 3.059909671729938054e+02 6.383200000000000000e+04
4.554569188183393291e-01 4.387288687963587677e+02 2.956043079204021069e+02 6.627200000000000000e+04
4.617788911268420060e-01 4.346438944942065064e+02 2.915193336182498456e+02 6.860400000000000000e+04
4.680995906845802912e-01 4.249880647751282368e+02 2.818635038991715760e+02 6.982400000000000000e+04
4.743866829976556287e-01 4.167025410161726882e+02 2.735779801402160274e+02 7.159800000000000000e+04
4.806701266904181979e-01 4.136875456416761949e+02 2.705629847657195342e+02 7.363400000000000000e+04
4.869464029839004060e-01 4.092401789279705326e+02 2.661156180520138719e+02 7.514600000000000000e+04
4.932051255392171929e-01 4.018002925876984932e+02 2.586757317117418324e+02 7.732800000000000000e+04
4.994696626648479909e-01 3.970548888243669126e+02 2.539303279484102518e+02 7.884800000000000000e+04
5.057193073175597631e-01 3.900262624249511987e+02 2.469017015489945379e+02 8.116400000000000000e+04
5.119989495044070527e-01 3.890503755663610832e+02 2.459258146904044224e+02 8.364400000000000000e+04
5.183159826466314790e-01 3.828023072718679600e+02 2.396777463959112993e+02 8.615600000000000000e+04
5.246107092885408107e-01 3.768299506873031532e+02 2.337053898113464925e+02 8.741000000000000000e+04
5.308819677746196009e-01 3.706343043489508204e+02 2.275097434729941597e+02 8.933800000000000000e+04
5.371663275127862569e-01 3.659025123013877874e+02 2.227779514254311266e+02 9.246200000000000000e+04
5.434900758720350167e-01 3.646678542157482070e+02 2.215432933397915463e+02 9.450400000000000000e+04
5.497699542502575420e-01 3.580131712989954167e+02 2.148886104230387559e+02 9.565800000000000000e+04
5.560083363989032357e-01 3.555204941074961766e+02 2.123959332315395159e+02 9.759800000000000000e+04
5.623114537777685884e-01 3.497952665678945436e+02 2.066707056919378829e+02 1.019620000000000000e+05
5.686318313430648308e-01 3.481019326959130353e+02 2.049773718199563746e+02 1.029860000000000000e+05
