# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 3.101373089320769941e+04 3.096141097301022819e+04 2.600000000000000000e+01
1.507912216506558135e-02 3.361003391615165310e+04 3.355771399595418188e+04 6.600000000000000000e+01
2.144790186456837014e-02 3.120724293745357500e+04 3.115492301725610378e+04 1.580000000000000000e+02
2.792609073416789378e-02 3.264596377063906766e+04 3.259364385044159644e+04 2.400000000000000000e+02
3.439458802618463457e-02 2.764190370239809999e+04 2.758958378220062878e+04 4.040000000000000000e+02
4.063552503253392567e-02 2.448730554174037024e+04 2.443498562154289903e+04 4.920000000000000000e+02
4.685273545737825979e-02 2.314876503126070020e+04 2.309644511106322898e+04 7.160000000000000000e+02
5.308225101765943338e-02 2.206808233734155874e+04 2.201576241714408752e+04 8.660000000000000000e+02
5.947086026992840641e-02 2.015265857328363199e+04 2.010033865308616078e+04 1.176000000000000000e+03
6.579000890571343185e-02 1.868040559515280620e+04 1.862808567495533498e+04 1.358000000000000000e+03
7.197688940286899040e-02 1.820742998763168362e+04 1.815511006743421240e+04 1.620000000000000000e+03
7.827860915688306109e-02 1.788113963969259567e+04 1.782881971949512445e+04 1.970000000000000000e+03
8.473402853143152669e-02 1.611639383521278251e+04 1.606407391501531129e+04 2.388000000000000000e+03
9.114995057719250948e-02 1.544901248597364065e+04 1.539669256577616943e+04 2.642000000000000000e+03
9.733441570868076043e-02 1.464687068023283246e+04 1.459455076003536124e+04 2.948000000000000000e+03
1.034823507189909925e-01 1.455077845954974509e+04 1.449845853935227387e+04 3.312000000000000000e+03
1.097621497737264751e-01 1.353470102442672760e+04 1.348238110422925638e+04 3.920000000000000000e+03
1.161502569114246236e-01 1.312079848924726502e+04 1.306847856904979380e+04 4.368000000000000000e+03
1.224511299792719610e-01 1.309486632284764164e+04 1.304254640265017042e+04 4.706000000000000000e+03
1.287146397216415161e-01 1.260379409046214096e+04 1.255147417026466974e+04 5.312000000000000000e+03
1.349787624209431713e-01 1.260732221810563715e+04 1.255500229790816593e+04 5.712000000000000000e+03
1.412227094847550990e-01 1.184378273150005589e+04 1.179146281130258467e+04 6.380000000000000000e+03
1.475340300674937433e-01 1.166679122083194852e+04 1.161447130063447730e+04 6.966000000000000000e+03
1.538209950420127425e-01 1.150066594906952196e+04 1.144834602887205074e+04 7.448000000000000000e+03
1.600939799861342827e-01 1.064636607404239112e+04 1.059404615384491990e+04 8.252000000000000000e+03
1.664990542498203663e-01 1.119232321360413334e+04 1.114000329340666212e+04 9.032000000000000000e+03
1.728174132941030505e-01 1.063121326929558381e+04 1.057889334909811259e+04 9.454000000000000000e+03
1.789853057753862942e-01 1.070115851108868992e+04 1.064883859089121870e+04 9.842000000000000000e+03
1.852733873177464519e-01 1.041444490703900919e+04 1.036212498684153798e+04 1.128200000000000000e+04
1.915389716053957636e-01 1.051563508572323735e+04 1.046331516552576613e+04 1.131800000000000000e+04
1.978093968968032412e-01 1.031107531103286783e+04 1.025875539083539661e+04 1.268400000000000000e+04
2.041363739541903199e-01 1.026522764382342575e+04 1.021290772362595453e+04 1.328000000000000000e+04
2.104329801156032687e-01 9.924454280448706413e+03 9.872134360251235194e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.002272396762817516e+04 9.970404047430703940e+03 1.513400000000000000e+04
2.230182219099299812e-01 9.836090493625191812e+03 9.783770573427720592e+03 1.561200000000000000e+04
2.292666160073620063e-01 9.556556868902764108e+03 9.504236948705292889e+03 1.673000000000000000e+04
2.355414553524693422e-01 9.600070828772721143e+03 9.547750908575249923e+03 1.765200000000000000e+04
2.418784335992887613e-01 9.559686883984211818e+03 9.507366963786740598e+03 1.889000000000000000e+04
2.481481271052154158e-01 9.459697607103478731e+03 9.407377686906007511e+03 1.929800000000000000e+04
2.543650879168818379e-01 9.499272553379871169e+03 9.446952633182399950e+03 2.047000000000000000e+04
