# # k, P(k),P(k)-shotnoise, Nmodes
8.899641224696953554e-03 1.385199296516821050e+04 1.370806518467419482e+04 2.600000000000000000e+01
1.507912216506558135e-02 1.430213875487381119e+04 1.415821097437979552e+04 6.600000000000000000e+01
2.144790186456837014e-02 1.403050509839416554e+04 1.388657731790014986e+04 1.580000000000000000e+02
2.792609073416789378e-02 1.349940165186451304e+04 1.335547387137049736e+04 2.400000000000000000e+02
3.439458802618463457e-02 1.120233674390974738e+04 1.105840896341573171e+04 4.040000000000000000e+02
4.063552503253392567e-02 8.874608306777839971e+03 8.730680526283824292e+03 4.920000000000000000e+02
4.685273545737825979e-02 8.238216655377842471e+03 8.094288874883827702e+03 7.160000000000000000e+02
5.308225101765943338e-02 7.490452485169927968e+03 7.346524704675913199e+03 8.660000000000000000e+02
5.947086026992840641e-02 6.632558061252034349e+03 6.488630280758019580e+03 1.176000000000000000e+03
6.579000890571343185e-02 6.159698212293945289e+03 6.015770431799930520e+03 1.358000000000000000e+03
7.197688940286899040e-02 5.703138433759821964e+03 5.559210653265807196e+03 1.620000000000000000e+03
7.827860915688306109e-02 5.123396167203355617e+03 4.979468386709340848e+03 1.970000000000000000e+03
8.473402853143152669e-02 4.645094384714393527e+03 4.501166604220378758e+03 2.388000000000000000e+03
9.114995057719250948e-02 4.041462580276621338e+03 3.897534799782606569e+03 2.642000000000000000e+03
9.733441570868076043e-02 3.580438784347719320e+03 3.436511003853704551e+03 2.948000000000000000e+03
1.034823507189909925e-01 3.336012949605407812e+03 3.192085169111393043e+03 3.312000000000000000e+03
1.097621497737264751e-01 3.081285709874804070e+03 2.937357929380789301e+03 3.920000000000000000e+03
1.161502569114246236e-01 2.917867517342935571e+03 2.773939736848920802e+03 4.368000000000000000e+03
1.224511299792719610e-01 2.800116054730643100e+03 2.656188274236628331e+03 4.706000000000000000e+03
1.287146397216415161e-01 2.637340868661036893e+03 2.493413088167022124e+03 5.312000000000000000e+03
1.349787624209431713e-01 2.514915812877719873e+03 2.370988032383705104e+03 5.712000000000000000e+03
1.412227094847550990e-01 2.287692304054637589e+03 2.143764523560622820e+03 6.380000000000000000e+03
1.475340300674937433e-01 2.142716538618142749e+03 1.998788758124127980e+03 6.966000000000000000e+03
1.538209950420127425e-01 2.005598327486827657e+03 1.861670546992812888e+03 7.448000000000000000e+03
1.600939799861342827e-01 1.876281653981154705e+03 1.732353873487139936e+03 8.252000000000000000e+03
1.664990542498203663e-01 1.816047847083798615e+03 1.672120066589783846e+03 9.032000000000000000e+03
1.728174132941030505e-01 1.734623638202398979e+03 1.590695857708384210e+03 9.454000000000000000e+03
1.789853057753862942e-01 1.627927469104107558e+03 1.483999688610092790e+03 9.842000000000000000e+03
1.852733873177464519e-01 1.565617269005189428e+03 1.421689488511174659e+03 1.128200000000000000e+04
1.915389716053957636e-01 1.463868628247103061e+03 1.319940847753088292e+03 1.131800000000000000e+04
1.978093968968032412e-01 1.440714663516073870e+03 1.296786883022059101e+03 1.268400000000000000e+04
2.041363739541903199e-01 1.374705908445572277e+03 1.230778127951557508e+03 1.328000000000000000e+04
2.104329801156032687e-01 1.304876415448701437e+03 1.160948634954686668e+03 1.408200000000000000e+04
2.167445339963977868e-01 1.245766949532891431e+03 1.101839169038876662e+03 1.513400000000000000e+04
2.230182219099299812e-01 1.201458257101009394e+03 1.057530476606994625e+03 1.561200000000000000e+04
2.292666160073620063e-01 1.136280945373711120e+03 9.923531648796962372e+02 1.673000000000000000e+04
2.355414553524693422e-01 1.102799664629598283e+03 9.588718841355834002e+02 1.765200000000000000e+04
2.418784335992887613e-01 1.072800330595057403e+03 9.288725501010425205e+02 1.889000000000000000e+04
2.481481271052154158e-01 1.018943302871863239e+03 8.750155223778483560e+02 1.929800000000000000e+04
2.543650879168818379e-01 9.837996325021302937e+02 8.398718520081154111e+02 2.047000000000000000e+04
2.606536864982170187e-01 9.577335118722169227e+02 8.138057313782020401e+02 2.174800000000000000e+04
2.669516384221341521e-01 9.259909785256018040e+02 7.820631980315869214e+02 2.269000000000000000e+04
2.732605699623428253e-01 8.948742684319272485e+02 7.509464879379123659e+02 2.392000000000000000e+04
2.796050098145749785e-01 8.652432462153699362e+02 7.213154657213550536e+02 2.524600000000000000e+04
2.858914879318384394e-01 8.407286518070879993e+02 6.968008713130731167e+02 2.568400000000000000e+04
2.920995948224677785e-01 8.138247675514547836e+02 6.698969870574399010e+02 2.681600000000000000e+04
2.983507476243664192e-01 8.097257132222501923e+02 6.657979327282353097e+02 2.844000000000000000e+04
3.046505408519667446e-01 7.789087390296501781e+02 6.349809585356352954e+02 2.953800000000000000e+04
3.109471038444538982e-01 7.517238084587041840e+02 6.077960279646893014e+02 3.094400000000000000e+04
3.172476750734718465e-01 7.384254460969711999e+02 5.944976656029563173e+02 3.198000000000000000e+04
3.235400448401911655e-01 7.217600716748243030e+02 5.778322911808094204e+02 3.352600000000000000e+04
3.298240459879566155e-01 7.039116631370017103e+02 5.599838826429868277e+02 3.446400000000000000e+04
3.361484519828671913e-01 6.733517274932374903e+02 5.294239469992226077e+02 3.651400000000000000e+04
3.424245328606954630e-01 6.697596133111695735e+02 5.258318328171546909e+02 3.675800000000000000e+04
3.486779824429606656e-01 6.532963804150034548e+02 5.093685999209885722e+02 3.881000000000000000e+04
3.549863988041813134e-01 6.435256723724839958e+02 4.995978918784691132e+02 4.041000000000000000e+04
3.612333738091870750e-01 6.338200049610508131e+02 4.898922244670359305e+02 4.071400000000000000e+04
3.675042092955584372e-01 6.132948881425922991e+02 4.693671076485774165e+02 4.367000000000000000e+04
3.737994570270907757e-01 6.063115322452429155e+02 4.623837517512280328e+02 4.398600000000000000e+04
3.800864636623462745e-01 5.863821799518395892e+02 4.424543994578247066e+02 4.642800000000000000e+04
3.863718149601460539e-01 5.764592927661204840e+02 4.325315122721056014e+02 4.723600000000000000e+04
3.926652062093009543e-01 5.614471274070790514e+02 4.175193469130641688e+02 4.938600000000000000e+04
3.989690954083237040e-01 5.540365372787341585e+02 4.101087567847192759e+02 5.079600000000000000e+04
4.052314429539636831e-01 5.434411576342273520e+02 3.995133771402124694e+02 5.174000000000000000e+04
4.115238727386639761e-01 5.305036554713495889e+02 3.865758749773347063e+02 5.460200000000000000e+04
4.178033403078543762e-01 5.211829547955053386e+02 3.772551743014904559e+02 5.484400000000000000e+04
4.240515472996450597e-01 5.153730203327598929e+02 3.714452398387450103e+02 5.723200000000000000e+04
4.303677505012359350e-01 5.116953120833829871e+02 3.677675315893681045e+02 5.964800000000000000e+04
4.366726307806358953e-01 4.991997360881204600e+02 3.552719555941056342e+02 6.038400000000000000e+04
4.429228297480427012e-01 4.941721032102244067e+02 3.502443227162095809e+02 6.217000000000000000e+04
4.491736915552866916e-01 4.842597346663081908e+02 3.403319541722933081e+02 6.383200000000000000e+04
4.554569188183393291e-01 4.756659048883195169e+02 3.317381243943046911e+02 6.627200000000000000e+04
4.617788911268420060e-01 4.681227884350885233e+02 3.241950079410736407e+02 6.860400000000000000e+04
4.680995906845802912e-01 4.610439438321266152e+02 3.171161633381117326e+02 6.982400000000000000e+04
4.743866829976556287e-01 4.519158721872311162e+02 3.079880916932162336e+02 7.159800000000000000e+04
4.806701266904181979e-01 4.465998462618513258e+02 3.026720657678364432e+02 7.363400000000000000e+04
4.869464029839004060e-01 4.427636787794759243e+02 2.988358982854610986e+02 7.514600000000000000e+04
4.932051255392171929e-01 4.310116032487366056e+02 2.870838227547217230e+02 7.732800000000000000e+04
4.994696626648479909e-01 4.271438470363522697e+02 2.832160665423374439e+02 7.884800000000000000e+04
5.057193073175597631e-01 4.191505604055275285e+02 2.752227799115127027e+02 8.116400000000000000e+04
5.119989495044070527e-01 4.188961450012832870e+02 2.749683645072684612e+02 8.364400000000000000e+04
5.183159826466314790e-01 4.094959905920763390e+02 2.655682100980615132e+02 8.615600000000000000e+04
5.246107092885408107e-01 4.044326854360373886e+02 2.605049049420225629e+02 8.741000000000000000e+04
5.308819677746196009e-01 3.986300704136621107e+02 2.547022899196472565e+02 8.933800000000000000e+04
5.371663275127862569e-01 3.968611395120474867e+02 2.529333590180326325e+02 9.246200000000000000e+04
5.434900758720350167e-01 3.905582179310729884e+02 2.466304374370581343e+02 9.450400000000000000e+04
5.497699542502575420e-01 3.846163641920530267e+02 2.406885836980381725e+02 9.565800000000000000e+04
5.560083363989032357e-01 3.802093890892124932e+02 2.362816085951976390e+02 9.759800000000000000e+04
5.623114537777685884e-01 3.759458219744425946e+02 2.320180414804277405e+02 1.019620000000000000e+05
5.686318313430648308e-01 3.731711192902115499e+02 2.292433387961966957e+02 1.029860000000000000e+05
5.748997298340194906e-01 3.690011817863061196e+02 2.250734012922912655e+02 1.044280000000000000e+05
5.811784316152807106e-01 3.646438506732998235e+02 2.207160701792849693e+02 1.082760000000000000e+05
5.874623501555152894e-01 3.607954836900194664e+02 2.168677031960046122e+02 1.091300000000000000e+05
5.937358705487374433e-01 3.566618844028267858e+02 2.127341039088119317e+02 1.124920000000000000e+05
6.000132321575981642e-01 3.545023642811564173e+02 2.105745837871415631e+02 1.142380000000000000e+05
6.062764279011477742e-01 3.522736306814770728e+02 2.083458501874622186e+02 1.165200000000000000e+05
6.125579126729602253e-01 3.471769426349383139e+02 2.032491621409234597e+02 1.198680000000000000e+05
6.188758883571132685e-01 3.438767594415867848e+02 1.999489789475719306e+02 1.227600000000000000e+05
6.251574688191492424e-01 3.408323116729197864e+02 1.969045311789049322e+02 1.235740000000000000e+05
6.314078328527679140e-01 3.384882209335809193e+02 1.945604404395660652e+02 1.265060000000000000e+05
6.377090179731219610e-01 3.347270626522177963e+02 1.907992821582029421e+02 1.303720000000000000e+05
6.440064460832264359e-01 3.318091147239774159e+02 1.878813342299625617e+02 1.318120000000000000e+05
6.502830651582106603e-01 3.263149562001864865e+02 1.823871757061716323e+02 1.344920000000000000e+05
6.565805265356863263e-01 3.262763058072660556e+02 1.823485253132512014e+02 1.379620000000000000e+05
6.628599596871522781e-01 3.206807673887617511e+02 1.767529868947468970e+02 1.390120000000000000e+05
6.691298853551562731e-01 3.194314982285525275e+02 1.755037177345376733e+02 1.425480000000000000e+05
6.754222718254296876e-01 3.168307647512498875e+02 1.729029842572350333e+02 1.458880000000000000e+05
6.816939054591842906e-01 3.139479417167333395e+02 1.700201612227184853e+02 1.465620000000000000e+05
6.879709791718701117e-01 3.132111994759526965e+02 1.692834189819378423e+02 1.517500000000000000e+05
6.942614105711022443e-01 3.101603180621535785e+02 1.662325375681387243e+02 1.526260000000000000e+05
7.005365424756659909e-01 3.054125756278360768e+02 1.614847951338212226e+02 1.565860000000000000e+05
7.068233029523925959e-01 3.036054268488732077e+02 1.596776463548583536e+02 1.590780000000000000e+05
7.131225830129004351e-01 3.021327625773457726e+02 1.582049820833309184e+02 1.622900000000000000e+05
7.194106404935602939e-01 2.988590907525431817e+02 1.549313102585283275e+02 1.647700000000000000e+05
7.256916467573152341e-01 2.975271491542370086e+02 1.535993686602221544e+02 1.674660000000000000e+05
7.319862263035085137e-01 2.957428303539134617e+02 1.518150498598986076e+02 1.713680000000000000e+05
